"","News_2013.publishedAt","News_2013.title"
"1","2016-10-05T14:32:44.000Z","Six Year Old Fatally Shot At School Gets Superhero Funeral"
"2","2016-09-28T22:47:25.000Z","Gunman Killed Dad Before South Carolina School Shooting"
"3","2016-09-30T22:07:39.000Z","14-Year-Old Charged In South Carolina School Shooting"
"4","2016-09-29T19:34:18.000Z","Volunteer Firefighter Tackles and Subdues School Shooter"
"5","2016-09-28T21:04:56.000Z","Elementary School Shooting Has Left 3 Wounded"
"6","2016-09-28T21:07:28.000Z","2 Students And One Teacher Wounded In SC School Shooting"
"7","2016-09-29T03:05:39.000Z","The Latest: Grandparents of school shooter found father dead"
"8","2016-10-03T12:59:34.000Z","6-Year-Old Shot At South Carolina School Will Have Superhero Funeral"
"9","2016-09-30T16:15:22.000Z","Teen Suspect Held In South Carolina School Shooting"
"10","2016-09-29T02:29:46.000Z","Teenager Killed Father Before School Shooting"
"11","2016-02-29T22:00:14.000Z","Four Students Injured in Ohio School Shooting"
"12","2016-09-29T13:15:03.000Z","Firefighter Takes Down Teen Who Shot 3 And Killed Father"
"13","2016-09-29T19:54:50.000Z","Teen In Custody After Shooting At Townville Elementary"
"14","2016-09-29T16:43:43.000Z","Teacher Shot By Teen Has Been In The Classroom For 13 Years"
"15","2016-07-08T01:18:49.000Z","Minnesota School Colleagues Shocked By Killing Of ""Mr. Phil"""
"16","2016-09-28T22:23:38.000Z","Officials Say The Teacher and One Child From NC Shooting Are In Good Condition"
"17","2016-07-09T23:50:45.000Z","Dallas Gunman Attended Local Self Defense School"
"18","2016-04-25T19:48:31.000Z","Students Return to School After Prom Shooting in Wisconsin"
"19","2016-07-29T18:37:51.000Z","Connecticut School Reopens Four Years After Mass Shooting"
"20","2013-12-14T22:45:29.000Z","Newtown Images Tell Tale Of Grief, Hope"
"21","2016-06-17T22:20:37.000Z","Orlando Killer Reportedly Violent In Grade School"
"22","2016-06-17T23:48:50.000Z","School Records Show Orlando Gunman Was Troubled From At Least the Third Grade"
"23","2016-02-13T02:00:26.000Z","Arizona Teens' Deaths: Possible Murder-Suicide or Double-Suicide"
"24","2016-06-08T16:39:55.000Z","Newtown Documentary Premieres Publicly in Connecticut"
"25","2016-10-19T19:02:34.000Z","Classes Pick Back up in San Francisco Following Teen Shooting"
"26","2016-07-15T01:28:17.000Z","Hundreds Gather To Remember Philando Castile"
