"","News_2015.publishedAt","News_2015.title"
"76","2015-07-16T23:42:51.000Z","4 Marines and Gunman Die in Attack on Two Military Sites"
"78","2015-06-09T20:05:26.000Z","Judge in Colorado Theater Shooting Trial Dismisses 3rd Juror"
"80","2015-05-10T20:26:51.000Z","Hot Tubs Phoenix | Desert Hot Tubs | (602) 863-3305"
"81","2015-02-02T02:02:25.000Z","Rotten to the Core"
"82","2015-09-29T22:00:00.000Z","Haunted by Columbine | Retro Report Documentary | The New York Times"
"83","2015-07-03T06:04:24.000Z","Nneka Ogwumike Scores 27 In Sparks Victory"
"84","2015-12-02T18:02:35.000Z","Shooting Reality"
"85","2015-10-30T22:33:05.000Z","Top 10 NBA Shooting Guards of All Time"
"86","2015-01-29T19:29:17.000Z","Ganon Baker: 20 Shooting Drills for the Lost Art of the Jump Shot"
"87","2015-04-20T00:00:00.000Z","GTA 5 PC Ep 4: Picture this [60FPS 1080p First Person]"
"89","2015-04-01T17:39:28.000Z","NBA Greatest Duels: Allen Iverson vs Stephen Curry (2010) *AI schools young Curry"
"90","2015-06-01T00:00:01.000Z","GTA 5 PC Ep 18: Flying so high [60FPS 1080p First Person]"
"91","2015-08-27T20:06:26.000Z","Shooting - 50m Rifle 3 Positions - Women's Final | London 2012 Olympic Games"
"96","2015-11-30T00:00:55.000Z","Shooting Methods for First-Order Three-Point Boundary Value Problems"
"97","2015-12-30T02:26:14.000Z","Fox Business Responds To Tamir Rice Case By Blaming Obama"
"116","2015-11-13T10:01:33.000Z","Iron Sky Spoiler Alert - Episode 18 - Say hello to my little friend!"
"143","2015-04-13T21:00:26.000Z","Take a Tour of the Space Station"
"156","2015-10-31T02:26:00.000Z","Police standoff in Salinas"
"161","2015-01-31T00:05:19.000Z","Driver flees fatal crash on Highway 1 in Seaside"
"162","2015-07-01T14:44:00.000Z","Lady Jackets Big 20 shooting drill. 1pt LU/2pt Jumper 3pt -3"
"163","2015-08-19T02:51:09.000Z","Man fleeing from Salinas police crashes outside news station"
"165","2015-12-26T23:44:06.000Z","DIY Rainbow GUMMY Glasses! Only ONE ingredient! Make Yummy Edible Glasses!"
"166","2015-08-31T15:00:00.000Z","Learn Spanish Greetings - Hola Amigo - with BASHO & FRIENDS"
"167","2015-08-12T00:33:00.000Z","TJ Duckett 10 10 20 Shooting Workout With Basketball Addict Trainer Dwayne Bryant"
"168","2015-07-09T20:38:30.000Z","Hiking camping gear review"
"169","2015-05-09T01:36:28.000Z","Salinas police officers who shot Angel Ruiz cleared of wrongdoing"
"170","2015-01-07T03:15:58.000Z","Salinas police: Man dies after hit by speeding driver 'Fast Eddie'"
"171","2015-07-11T11:30:00.000Z","Romantic Short Film - Classroom | Love Triangle | Pocket Films"
"172","2015-06-10T07:21:50.000Z","Use Of Force By Salinas Police Under Scrutiny"
"173","2015-02-25T15:21:35.000Z","My Candy Love Parody | Freshman Friday"
"174","2015-05-16T03:58:54.000Z","Wes Davidson signs with Anderson University basketball on 5/15/15 on WANE 11 p.m. newscast."
"175","2015-01-21T08:40:23.000Z","2015-01-20 Shooting Sends Two to Hospital - Waterloo, Iowa - Myke Goings - KMDG"
"176","2015-03-08T06:28:38.000Z","1A: Blackhawk takes Hamilton sectional with win over Elkhart Christian"
"177","2015-05-12T12:45:48.000Z","The GTA V Skill Guide"
"178","2015-01-15T22:31:02.000Z","One Hand Shots - Shooting Drill"
"179","2015-06-02T12:46:34.000Z","How To Paint Amazing Graphics with Metal Flake and Candeez on Vintage Motorcycle Helmet - Eastwood"
"180","2015-08-04T17:01:15.000Z","[GL:RP] SASD Pursuit (#1-HSIU)"
"181","2015-07-20T16:43:06.000Z","INVESTIGATION INTO INTERSTATE SHOOTING CONTINUES"
"182","2015-04-21T09:27:40.000Z","Columbine High School Massacre: April 20, 1999."
"183","2015-02-02T05:17:54.000Z","Recruit Melanie Lindsey #15   GuardForward  Class of 2015   NCAA ID 1409854210 NA"
"184","2015-04-25T12:05:52.000Z","Galactic Defender for the Commodore VIC-20 / Commodore VC-20"
"185","2015-01-26T16:15:03.000Z","Bomber Attack for the Commodore VIC-20 / Commodore VC-20"
"186","2015-09-05T21:54:25.000Z","IDPA - Back to School Match - Bloopers"
"187","2015-03-31T18:50:05.000Z","SVSM Ganon Baker Cleveland Basketball School Clinic"
"188","2015-06-12T01:44:39.000Z","Infinite Flight KLM 747-400 Full Flight WITH GO-AROUND (HD)"
"189","2015-03-29T02:18:22.000Z","My Candy Love Parody | Interrogations - Contact Information"
"190","2015-10-14T21:28:48.000Z","11.2-Finite Difference Method non-linear system (numerical analysis)"
"191","2015-07-16T11:58:40.000Z","How To Paint a Car - Hands-On Cars 14: Painting The Camaro!  Kevin Tetz & Eastwood"
"192","2015-04-30T02:50:51.000Z","Global BEM Group Talk 2013 (See Links Under Vid)"
"193","2015-02-17T03:45:31.000Z","UTPA Women's Basketball Achieves Winningest Season in Program History"
"194","2015-06-23T18:33:33.000Z","Anime Decorations DIY: Rei Ryugazaki 3DS Case"
"195","2015-10-24T04:32:13.000Z","Shooting Star (IA Teddyloid) ENGLISH [STARS feat. TOM]"
"196","2015-11-28T00:19:11.000Z","Val and Matt Introduction to some IDPA style shooting"
"197","2015-06-30T19:56:04.000Z","How To MIG Weld Aluminum - Pointers and Troubleshooting with Eastwood"
"198","2015-01-11T10:00:41.000Z","【カンボジア／サッカー】子供向けサッカースクールの様子（GFA Soriyaキッズ12歳以下&15歳以下カテゴリー）"
"200","2015-03-27T07:09:45.000Z","Yandere Voice Meme! [ｘｘᏞᎥsᎪｘｘ]"
"201","2015-01-05T06:17:18.000Z","【カンボジア／フットサル】カンボジアリーガー太田選手のコメント（GFA Soriyaグッドモーニング個サル）"
"202","2015-02-07T17:50:19.000Z","Anime Decorations DIY: MashuMaro KeyChains ( Bonjour Koiaji Patisserie)"
"203","2015-07-08T19:07:08.000Z","Nick Warren Face offs Warrior Elite"
"204","2015-01-05T19:32:40.000Z","EDGE 2019 - #15 - Thomas McConvey Fall 2014 Highlights"
"205","2015-02-23T21:46:20.000Z","Trevor William Deubner  February 2015 Box Lacrosse tournaments highlight video"
"206","2015-05-08T22:10:25.000Z","Miss Disney 2015 - Round 5 | Calendar shoot"
"209","2015-06-02T16:37:49.000Z","IDPA - Sturgis, MI - 2015-05-30"
"210","2015-07-21T15:10:40.000Z","KCI Powder Coat Guns"
"212","2015-08-25T21:45:12.000Z","Bryan Knapp Wing Scoring workout With Basketball Addicts Dwayne Bryant"
"213","2015-01-14T23:20:48.000Z","Michael Colpack 2019 - Behind the Back goal"
"214","2015-09-23T19:50:58.000Z","2015 IDPA World Championship High Junior - Parker Wallace"
"215","2015-08-06T17:52:52.000Z","Alex Lustig Shooting Guard Wing Workout Dwayne Bryant of Basketball Addict Training"
"216","2015-04-30T11:36:57.000Z","Android Game Cadillacs and Dinosaurs ( mustafa game ) 1st Boss"
"217","2015-02-17T02:07:47.000Z","The Gun Smith's Show - The Winchester 1873 Rifle - January 17, 2014"
"218","2015-07-04T23:06:51.000Z","SEIPSG 3-Gun 2015-07-04 Stage 2 Rod"
"219","2015-04-23T01:24:00.000Z","Apr 14, 2015"
"221","2015-05-27T22:55:55.000Z","May 27, 2015"
"222","2015-12-24T20:53:34.000Z","Shook's Random Gaming (Stellar 2D) Side Scrolling Space Shooter"
"223","2015-12-10T23:02:08.000Z","Five Nights at Freddy's 3 EASY!!!(Ft. Rafael)"
"224","2015-07-08T04:03:01.000Z","GTA 5 all that over popping a tire?"
"226","2015-09-15T22:48:07.000Z","2015-09-15 Two Houses Hit by Gun Shots - Waterloo, Iowa - Myke Goings - KMDG"
"227","2015-03-07T06:58:54.000Z","AR-15/M16A4 cleaning"
"228","2015-05-18T22:14:14.000Z","Fatal Grapevine Officer Involved Shooting"
"229","2015-01-19T12:44:30.000Z","Rim fire run and gun, ridge crossing shooting club"
"230","2015-01-02T04:28:18.000Z","2015-01-01 New Year's Day Stabbing - Waterloo, Iowa - Myke Goings - KMDG"
"231","2015-02-08T23:23:37.000Z","2019 G C2C vs T 180 GM1 Jan 18 2015"
"232","2015-03-11T03:33:57.000Z","Jon Paul Sinacola 1st Half 2014 2015 HS Highlights"
"233","2015-04-20T03:10:26.000Z","VEDA 2015 #19 | Stink Butt"
"234","2015-08-28T22:38:16.000Z","Providence, Rhode Island"
"235","2015-02-27T06:29:43.000Z","SDPS IDPA Match #4 - Minh's ESP Marksman debut [02.01.2015]"
"236","2015-09-02T20:58:03.000Z","Chuck vs the Sensei"
"237","2015-06-01T14:10:58.000Z","TjD - Top 100 (open mic) Waterloo, Iowa"
"238","2015-03-28T20:36:50.000Z","Tru Ent - Don't You? (LIVE) Waterloo, Iowa ""The Live Experience Tour"""
"239","2015-10-10T05:42:57.000Z","2015 NRA IDPA 090815 - Targets Covered with Clothing"
"240","2015-02-08T23:21:03.000Z","2019 G C2C vs Bearlax BLue GM5 Jan 18 15"
"241","2015-08-08T07:46:43.000Z","SDPS IDPA Match #1 - Minh's First Match [09.07.2014]"
"242","2015-09-25T21:03:06.000Z","450 bushamster function test"
"243","2015-12-09T23:40:07.000Z","Jake Lavis 2015 Highlights (NDC Transfer)"
"244","2015-02-25T04:15:02.000Z","IDPA Match Ready Line 2 24 15"
"245","2015-07-19T11:10:05.000Z","July Cleveland TN IDPA"
"246","2015-04-22T06:07:21.000Z","2015-04-21 Second House Hit by Gun Shots Tonight - Waterloo, Iowa - Myke Goings - KMDG"
"247","2015-05-22T06:29:13.000Z","The knotty pine fire in mount vernon washington #2"
"248","2015-01-19T15:40:25.000Z","Joseph Moran: 2019 Goalie, 2015 Adrenaline Challenge"
"249","2015-02-27T00:57:16.000Z","Robert Ernst Lacrosse Class of 2019"
"250","2015-02-18T19:18:00.000Z","Joseph Moran, 2019 Lacrosse Goalie, Winter 2015 Highlights"
"251","2015-04-17T05:44:30.000Z","JOEY MORLAN 6'5"" 210# Class of 2015"
"253","2015-11-11T18:55:15.000Z","Oakland Shooting 20151104"
"255","2015-07-01T10:46:14.000Z","Gta 5 Motorcycle Tire Glitch [Funny Glitch]"
"256","2015-01-05T04:21:54.000Z","REC 0004 Factory Lacrosse U15 vs ADVNC 2019 01 02 15"
"257","2015-10-07T20:14:14.000Z","Beretta Jetfire cutting my hand."
"258","2015-01-04T07:12:22.000Z","REC 0045 Factory Lacrosse U15 vs Chaos 2019 01 03 15"
"259","2015-03-15T02:14:29.000Z","3-14-2015 IDPA Pickaway County Sportsmen Circleville, OH"
"260","2015-10-21T00:59:16.000Z","Bridgeport i.d.p.a"
"261","2015-01-04T06:40:44.000Z","REC 0039 Factory Lacrosse U15 vs Chaos 2019 01 03 15"
"262","2015-01-12T16:42:01.000Z","News Updates January 12 2015 Keystone Veto Override, Kerry in Pakistan,New York Police No Vactaions"
"263","2015-01-05T04:49:08.000Z","REC 0016 Factory Lacrosse U15 vs ADVNC 2019 01 02 15"
"264","2015-01-05T04:39:38.000Z","REC 0010 Factory Lacrosse U15 vs ADVNC 2019 01 02 15"
"265","2015-01-05T04:49:38.000Z","REC 0018 Factory Lacrosse U15 vs ADVNC 2019 01 02 15"
"266","2015-01-05T04:11:05.000Z","REC 0002 Factory Lacrosse U15 vs ADVNC 2019 01 02 15"
"267","2015-01-05T04:52:22.000Z","REC 0020 Factory Lacrosse U15 vs ADVNC 2019 01 02 15"
"268","2015-01-05T04:16:31.000Z","REC 0003 Factory Lacrosse U15 vs ADVNC 2019 01 02 15"
"269","2015-01-05T04:43:17.000Z","REC 0015 Factory Lacrosse U15 vs ADVNC 2019 01 02 15"
"270","2015-01-04T07:56:52.000Z","REC 0053 Factory Lacrosse U15 vs Chaos 2019 01 03 15"
"271","2015-01-05T04:53:21.000Z","REC 0021 Factory Lacrosse U15 vs ADVNC 2019 01 02 15 goal"
"272","2015-01-05T04:33:30.000Z","REC 0007 Factory Lacrosse U15 vs ADVNC 2019 01 02 15"
"273","2015-01-05T04:40:08.000Z","REC 0013 Factory Lacrosse U15 vs ADVNC 2019 01 02 15"
"274","2015-01-05T04:19:40.000Z","REC 0005 Factory Lacrosse U15 vs ADVNC 2019 01 02 15"
"275","2015-01-04T07:22:02.000Z","REC 0046 Factory Lacrosse U15 vs Chaos 2019 01 03 15"
"276","2015-11-15T13:34:22.000Z","Ganon Baker Basketball Teaching shooting practice0002"
"277","2015-11-15T13:34:22.000Z","Ganon Baker Basketball Teaching shooting practice 0003"
"278","2015-10-08T15:07:35.000Z","Saraiki best video new songs 2015 koi rohi yaad kre By Anwar ali khan"
"279","2015-02-19T08:22:03.000Z","Victory Select 2019 @2015 Sand Storm Lacrosse Tournament"
"286","2015-11-15T13:34:22.000Z","Ganon Baker Basketball Teaching teach you the correct shooting 0004"
"287","2015-02-15T23:20:43.000Z","Portal Gun для Minecraft 1.6.2"
"288","2015-08-13T12:58:58.000Z","Мод на Майнкрафт 1 6 4 Portal Gun"
"289","2015-03-06T09:34:51.000Z","Майнкрафт 1.7.10 мод Portal Gun"
"290","2015-02-15T16:22:32.000Z","Майнкрафт 1.5.2 мод Portal Gun"
"291","2015-08-19T22:44:23.000Z","Мод Майнкрафт 1 7 10 Portal Gun"
"292","2015-05-13T14:23:03.000Z","Machine Gun Kelly Type beat instrumental (Free Download MGK rap beat)"
"293","2015-11-20T13:20:29.000Z","Iron Sky Spoiler Alert - Episode 22 - Boom Operator"
"294","2015-11-04T15:34:57.000Z","Competing for the Governor's Twenty"
"295","2015-04-26T05:14:33.000Z","Hot glue Meaning"
"296","2015-12-21T20:13:43.000Z","Machine Gun Funk (It's The Funk Baby) - The Notorious BIG (SFA Remix)"
"297","2015-12-09T08:06:22.000Z","Szkoła IDPA, OSS Rybieniec"
"298","2015-05-15T20:15:21.000Z","Rutina de tarde con mis pimpollos"
"299","2015-05-01T19:54:11.000Z","@thehorsebc Issue #165 - Sin City"
"300","2015-09-29T07:10:52.000Z","Replacement bike for motto blogging!"
"301","2015-11-01T07:11:24.000Z","[ENG SUB] Behind The Show - Cross Gene [15/04/10]"
"303","2015-05-15T13:01:22.000Z","machine gun sound effect"
"304","2015-09-09T19:58:56.000Z","Мод Gravity Gun для Minecraft 1 7 10"
"305","2015-08-04T18:34:12.000Z","Майнкрафт 1710 мод Portal Gun"
