"","1","2"
"aaaalllllll",0,1
"abandoned",0,1
"abc",0,2
"abdel",0,1
"abed",0,1
"abiding",0,2
"ability",0,3
"able",0,11
"abnormal",0,1
"abolishing",0,1
"abortion",0,2
"abortions",0,1
"about",0,1
"abrams",0,1
"abschicken",0,1
"absolute",0,2
"absolutely",0,12
"absolved",0,1
"abuse",0,6
"abused",0,2
"academic",0,2
"academy",0,2
"accept",0,1
"acceptance",0,1
"access",0,7
"accessible",0,1
"accident",0,2
"accidents",0,1
"according",0,3
"accountability",0,1
"accountable",0,2
"accounts",0,2
"accualy",0,1
"accurate",0,1
"acknowledging",0,1
"acosta",0,1
"acp",0,1
"acquiring",0,1
"across",0,2
"act",0,7
"acted",0,3
"acting",0,5
"action",0,5
"actions",0,5
"active",0,3
"activist",0,1
"activists",0,1
"activities",0,1
"actor",0,3
"actors",0,9
"acts",0,2
"actual",0,4
"actually",0,32
"add",0,4
"addressing",0,1
"adds",0,1
"adhd",0,2
"adkinsgive",0,1
"admin",0,1
"administration",0,1
"admit",0,2
"admitted",0,5
"admitting",0,1
"adolf",0,1
"adolph",0,2
"adoptive",0,2
"ads",0,1
"adult",0,2
"adulte",0,1
"adultery",0,1
"adults",0,3
"advantage",0,1
"advice",0,2
"aesthetic",0,1
"aff",0,1
"affected",0,3
"affirmative",0,3
"afford",0,1
"affxctin",0,2
"afghanistan",0,1
"afraid",0,3
"africa",0,1
"african",0,3
"afro",0,1
"after",0,1
"afterwards",0,2
"again",0,2
"agario",0,1
"age",0,13
"agenda",0,2
"agendas",0,1
"agestand",0,1
"aging",0,1
"ago",0,7
"agonnvery",0,1
"agree",0,10
"agreed",0,1
"agreeing",0,1
"agruing",0,1
"ahahaha",0,1
"ahead",0,3
"ahh",0,1
"ahhh",0,1
"ahhhhhh",0,1
"aiding",0,1
"aim",0,2
"aimed",0,1
"aint",0,12
"ainâuut",0,1
"air",0,4
"airlift",0,1
"airlsoft",0,1
"airplane",0,1
"airport",0,2
"airsoft",0,8
"aka",0,2
"akbar",0,1
"akm",0,1
"alarm",0,2
"alarms",0,1
"alcohol",0,1
"alert",0,1
"alex",0,3
"alexei",0,1
"alfieski",0,1
"alienate",0,1
"alienated",0,1
"alienating",0,6
"alive",0,12
"all",0,31
"allah",0,5
"allahu",0,1
"alle",0,3
"allegedly",0,1
"allen",0,1
"allied",0,1
"allies",0,1
"allllll",0,1
"allow",0,1
"allowed",0,7
"allowing",0,2
"almost",0,11
"alone",0,5
"along",0,2
"alot",0,9
"alpha",0,1
"already",0,26
"alreadyhitlerallied",0,4
"alright",0,3
"also",0,51
"alt",0,2
"altercation",0,1
"alternative",0,1
"aluminum",0,4
"always",0,24
"amazing",0,7
"amen",0,4
"amendmemt",0,1
"amendment",0,8
"amendments",0,1
"america",0,53
"american",0,17
"americans",0,20
"americansfuck",0,1
"americanwhere",0,1
"americaâucua",0,1
"americaðufuºðufu¸",0,1
"americunt",0,1
"americunts",0,1
"amerika",0,1
"ammo",0,7
"among",0,5
"amount",0,3
"amsterdam",0,1
"anaiahs",0,1
"analyze",0,2
"and",0,62
"andere",0,1
"andrew",0,1
"angel",0,1
"angels",0,1
"anger",0,3
"anglesðufu­ðufu­ðufuuðufuuðufuu",0,1
"angry",0,2
"angryyyynnnnnnrip",0,1
"angãuâu",0,1
"animal",0,1
"animals",0,2
"animations",0,1
"ann",0,1
"annnnd",0,1
"annoying",0,3
"anonymous",0,1
"another",0,32
"anrichten",0,1
"answer",0,4
"answered",0,1
"answering",0,1
"answers",0,1
"anthony",0,2
"anti",0,2
"antidepressants",0,1
"antigun",0,4
"antipsychotics",0,1
"antiv",0,1
"antivenom",0,1
"any",0,1
"anybody",0,2
"anymore",0,7
"anyone",0,37
"anything",0,34
"anythingso",0,1
"anytime",0,1
"anyway",0,1
"anyways",0,4
"anywhere",0,3
"aplogize",0,1
"app",0,1
"apparentely",0,1
"apparently",0,2
"appeals",0,1
"appear",0,1
"application",0,1
"applied",0,1
"applies",0,1
"apply",0,1
"applying",0,1
"apprentice",0,4
"appropriate",0,1
"approves",0,1
"april",0,1
"arab",0,4
"are",0,28
"areas",0,1
"arent",0,4
"arenâuut",0,7
"argue",0,2
"arguing",0,1
"argument",0,12
"arguments",0,1
"ariana",0,1
"arm",0,2
"armalite",0,3
"armed",0,13
"armenia",0,1
"armies",0,4
"arming",0,1
"armor",0,4
"arms",0,4
"armstrong",0,1
"army",0,6
"armyyy",0,1
"around",0,19
"arrest",0,9
"arrested",0,11
"arresting",0,4
"arrests",0,3
"arristegui",0,4
"arrivalnnbelieve",0,1
"arrive",0,11
"arrivenpolice",0,1
"arriving",0,1
"ars",0,7
"arw",0,1
"asf",0,8
"asian",0,2
"asians",0,1
"aside",0,1
"ask",0,6
"asked",0,4
"asking",0,4
"asks",0,1
"ass",0,35
"assassinate",0,5
"assault",0,29
"assaulted",0,2
"asses",0,2
"asset",0,1
"assets",0,2
"asshat",0,1
"asshole",0,2
"assholes",0,1
"assraped",0,1
"assualt",0,1
"assult",0,3
"assume",0,1
"assuming",0,1
"asylum",0,1
"atack",0,1
"ate",0,1
"atfs",0,1
"atheist",0,1
"atleast",0,3
"atleat",0,1
"attaced",0,1
"attack",0,4
"attacked",0,1
"attacker",0,3
"attacking",0,1
"attacks",0,4
"attaining",0,1
"attaking",0,1
"attempt",0,1
"attention",0,15
"attorney",0,1
"attributed",0,1
"atuomatic",0,1
"audio",0,1
"audios",0,1
"audit",0,1
"auf",0,1
"aug",0,1
"augusto",0,1
"aussies",0,1
"austin",0,1
"australia",0,3
"authorities",0,4
"autisim",0,1
"autism",0,2
"autistic",0,2
"auto",0,9
"automatic",0,6
"automatically",0,1
"automatics",0,1
"automobile",0,1
"ava",0,1
"available",0,2
"ave",0,1
"average",0,1
"avoid",0,2
"avoided",0,1
"award",0,2
"aware",0,1
"away",0,31
"awaynme",0,1
"awe",0,2
"awesome",0,2
"awful",0,1
"awkward",0,1
"awol",0,2
"aww",0,2
"aye",0,1
"aztlan",0,1
"babe",0,1
"babies",0,5
"babinjans",0,1
"baby",0,2
"back",0,26
"backed",0,2
"background",0,9
"backgrounds",0,1
"backpack",0,1
"backstory",0,4
"bad",0,62
"badif",0,1
"badly",0,2
"bag",0,6
"bahamas",0,1
"bahha",0,1
"bait",0,1
"baker",0,1
"baking",0,1
"balance",0,1
"baldheaded",0,1
"ball",0,8
"balled",0,7
"ballistic",0,1
"balls",0,4
"baloney",0,1
"ban",0,34
"banai",0,1
"bandz",0,1
"bang",0,7
"bank",0,2
"banker",0,1
"banned",0,10
"banning",0,19
"bans",0,3
"barbaric",0,1
"barclay",0,3
"barely",0,1
"barracks",0,1
"barrel",0,10
"barrels",0,5
"bars",0,1
"based",0,4
"basement",0,1
"basic",0,1
"basically",0,2
"basis",0,1
"bastarde",0,1
"bastardsnnthe",0,1
"bathroom",0,3
"baton",0,1
"battle",0,2
"battles",0,1
"bay",0,1
"bbs",0,1
"beacuse",0,3
"beanie",0,1
"beans",0,1
"bear",0,2
"bearing",0,1
"beast",0,3
"beat",0,22
"beater",0,3
"beating",0,3
"beautiful",0,2
"beautifulkind",0,1
"beauty",0,1
"beavis",0,1
"became",0,4
"because",0,14
"become",0,4
"becoming",0,3
"becoues",0,1
"becuse",0,1
"becuz",0,2
"bed",0,1
"bee",0,1
"beebee",0,1
"been",0,4
"before",0,2
"befriend",0,2
"beg",0,1
"began",0,5
"begin",0,2
"begun",0,2
"behalf",0,1
"behave",0,3
"behavior",0,4
"behaviors",0,2
"behind",0,15
"being",0,1
"beings",0,1
"beispiel",0,1
"belevie",0,1
"beliefs",0,2
"believe",0,25
"believed",0,1
"believers",0,1
"believes",0,1
"believing",0,2
"belligerent",0,1
"belong",0,1
"belongs",0,1
"beloved",0,2
"ben",0,1
"bend",0,1
"bendy",0,2
"benefit",0,1
"beond",0,1
"besides",0,4
"best",0,25
"bestfriend",0,1
"bet",0,6
"beto",0,1
"better",0,74
"beware",0,1
"beyond",0,3
"bff",0,1
"bias",0,1
"biased",0,1
"bickering",0,1
"bielive",0,1
"big",0,17
"bigger",0,3
"biggest",0,9
"bigots",0,1
"billet",0,4
"billion",0,1
"billionaires",0,1
"billy",0,4
"binge",0,1
"biological",0,2
"bipartisan",0,1
"birth",0,1
"birthday",0,4
"bit",0,5
"bitch",0,14
"bitches",0,5
"bitchhhhðufuu",0,1
"bite",0,1
"bites",0,1
"bitlyqocubanguns",0,1
"bitterness",0,1
"biulding",0,1
"bla",0,3
"blac",0,5
