"","1","2"
"abiding",0,4
"ability",0,1
"able",0,1
"abortion",0,1
"abroad",0,1
"absent",0,2
"access",0,3
"accessable",0,1
"accident",0,1
"according",0,3
"account",0,2
"achieved",0,1
"across",0,1
"action",0,2
"actions",0,1
"active",0,1
"acts",0,1
"actual",0,1
"actually",0,7
"adam",0,1
"add",0,1
"addicting",0,1
"addicts",0,1
"admiral",0,1
"admit",0,1
"ads",0,1
"advantage",0,1
"afraid",0,4
"aftermath",0,1
"afternoon",0,1
"again",0,1
"against",0,1
"age",0,2
"agelol",0,1
"agendas",0,1
"agnostics",0,1
"ago",0,3
"agree",0,3
"agressive",0,1
"ahem",0,1
"aiming",0,1
"all",0,4
"allegiance",0,3
"allow",0,1
"allowed",0,4
"ally",0,1
"almost",0,1
"along",0,1
"already",0,3
"also",0,7
"although",0,1
"always",0,5
"amapoorguy",0,1
"amazing",0,1
"amendment",0,8
"america",0,14
"american",0,8
"americans",0,5
"americas",0,1
"amish",0,1
"ammo",0,4
"ammonia",0,1
"amongst",0,1
"amount",0,1
"anarchynnim",0,1
"and",0,20
"anfobomb",0,1
"angels",0,2
"anger",0,1
"animal",0,1
"anniversaries",0,1
"anniversary",0,3
"annual",0,2
"another",0,7
"answer",0,1
"answered",0,1
"answers",0,1
"antecedent",0,1
"antgun",0,1
"anti",0,1
"antigun",0,1
"any",0,1
"anybody",0,2
"anyone",0,5
"anything",0,6
"anyway",0,4
"apart",0,3
"apparently",0,2
"appointed",0,1
"appreciate",0,1
"arabs",0,1
"are",0,1
"area",0,1
"argue",0,1
"argument",0,4
"arizona",0,1
"arm",0,1
"armed",0,4
"arms",0,5
"army",0,4
"arnt",0,1
"around",0,4
"arrange",0,1
"arrogant",0,1
"ars",0,1
"asap",0,1
"ask",0,2
"asks",0,1
"ass",0,3
"assailant",0,1
"assault",0,2
"assholen",0,1
"assholes",0,1
"atheist",0,4
"atheists",0,2
"athiesm",0,1
"attack",0,1
"attacks",0,2
"attainable",0,1
"attainment",0,1
"attempt",0,1
"attention",0,4
"audiences",0,1
"aunt",0,2
"aurora",0,3
"aurorans",0,1
"australia",0,2
"automatic",0,1
"availability",0,1
"available",0,3
"average",0,1
"away",0,9
"awful",0,1
"baby",0,1
"babysit",0,1
"back",0,9
"background",0,1
"backs",0,1
"bad",0,8
"badnso",0,1
"bag",0,2
"baltimore",0,1
"ban",0,13
"bank",0,1
"banned",0,2
"banning",0,3
"baptist",0,2
"barbaric",0,1
"bare",0,2
"barely",0,1
"baruch",0,1
"base",0,1
"based",0,5
"baseless",0,1
"bashing",0,1
"basic",0,1
"basis",0,1
"bastard",0,1
"bastards",0,1
"bath",0,2
"batman",0,1
"batshit",0,1
"bay",0,1
"bear",0,1
"beard",0,3
"beat",0,1
"beautiful",0,1
"became",0,2
"because",0,2
"become",0,1
"becoming",0,3
"bed",0,1
"before",0,1
"beginning",0,2
"behavior",0,1
"behaviour",0,1
"behind",0,3
"bein",0,1
"beleve",0,1
"believe",0,9
"believed",0,1
"believes",0,3
"belongs",0,1
"best",0,5
"better",0,7
"bible",0,2
"biden",0,1
"big",0,2
"bill",0,1
"billion",0,1
"birthday",0,1
"birthdays",0,1
"bit",0,2
"bitch",0,3
"bitches",0,1
"blade",0,1
"blame",0,9
"blaming",0,1
"bleeding",0,1
"bless",0,1
"blind",0,1
"blood",0,1
"bloodiest",0,1
"bloop",0,1
"blowhard",0,1
"board",0,1
"boatand",0,1
"body",0,1
"bomb",0,6
"bomber",0,1
"bombnthen",0,1
"bombs",0,7
"book",0,1
"boom",0,1
"border",0,1
"born",0,4
"bornntry",0,1
"bought",0,1
"bow",0,2
"boxes",0,1
"boy",0,2
"brain",0,1
"brainless",0,2
"brainwashed",0,1
"brainwashing",0,1
"brazil",0,1
"break",0,1
"breakfast",0,1
"bring",0,1
"bringing",0,1
"british",0,4
"bro",0,2
"broadly",0,1
"broken",0,3
"bronze",0,1
"brooklyn",0,2
"browbeat",0,1
"bruce",0,1
"brutal",0,1
"brutally",0,1
"btw",0,2
"built",0,2
"bullets",0,4
"bullied",0,3
"bullshit",0,1
"bullshitting",0,1
"bully",0,1
"bullying",0,2
"bunch",0,2
"bunchi",0,1
"burn",0,1
"burning",0,1
"bush",0,3
"bushes",0,1
"bushs",0,1
"but",0,8
"butthurt",0,1
"buy",0,2
"buying",0,1
"call",0,3
"called",0,1
"came",0,4
"canada",0,3
"canadian",0,3
"canadians",0,5
"cancel",0,1
"candidate",0,1
"candy",0,1
"cant",0,4
"capable",0,1
"capita",0,4
"capital",0,1
"capitanjapan",0,1
"capitanjust",0,1
"care",0,4
"careful",0,1
"cares",0,2
"carnage",0,1
"carry",0,7
"carrying",0,2
"cars",0,2
"case",0,4
"cash",0,1
"casualties",0,1
"catholic",0,1
"catholics",0,1
"cause",0,3
"caused",0,1
"causes",0,1
"cbs",0,1
"celebrate",0,1
"certain",0,2
"chainsaw",0,3
"challenge",0,4
"challenged",0,1
"chance",0,2
"change",0,2
"changed",0,2
"channels",0,1
"chapelle",0,1
"charlatan",0,1
"chauvinist",0,1
"check",0,2
"cheerleading",0,1
"cheers",0,1
"chest",0,1
"chicken",0,2
"chickens",0,1
"child",0,4
"children",0,15
"childrennnreligion",0,1
"childrens",0,1
"childs",0,4
"china",0,1
"cho",0,1
"choice",0,1
"choked",0,1
"choose",0,3
"christian",0,6
"christianity",0,1
"christians",0,2
"christmas",0,2
"christopher",0,1
"church",0,3
"churches",0,1
"churchesbut",0,1
"cif",0,1
"circumstances",0,1
"citizen",0,1
"citizens",0,4
"city",0,1
"civilian",0,2
"civilians",0,1
"civilized",0,3
"claims",0,3
"claus",0,1
"clemons",0,2
"cleveland",0,1
"cliff",0,1
"close",0,2
"closed",0,1
"closest",0,1
"closet",0,1
"clue",0,1
"clueless",0,2
"clunkers",0,1
"cocaine",0,1
"cold",0,1
"colleges",0,1
"colombine",0,1
"colonies",0,1
"colonists",0,1
"colorado",0,1
"colt",0,2
"columbine",0,22
"columbines",0,1
"combined",0,2
"come",0,9
"comes",0,2
"comfortable",0,1
"coming",0,4
"commemoration",0,1
"comment",0,6
"commented",0,1
"commenting",0,2
"comments",0,4
"commercial",0,1
"commintating",0,1
"commit",0,3
"committed",0,2
"committing",0,1
"common",0,2
"comparable",0,1
"compare",0,3
"comparison",0,4
"competition",0,1
"competitive",0,1
"completely",0,2
"comprehend",0,1
"conceal",0,1
"concerned",0,1
"condemn",0,1
"condolences",0,1
"condone",0,1
"connecticut",0,4
"connecticutnewtown",0,1
"conniticut",0,1
"cons",0,1
"conservative",0,1
"consider",0,1
"considered",0,4
"considering",0,1
"consirding",0,1
"constitution",0,1
"constitutional",0,1
"constraints",0,1
"containing",0,1
"context",0,2
"continue",0,1
"contradicts",0,1
"control",0,10
"cop",0,1
"cops",0,1
"correct",0,2
"cortex",0,1
"cost",0,1
"count",0,21
"counterparts",0,1
"countries",0,20
"country",0,14
"county",0,1
"couple",0,2
"course",0,5
"court",0,1
"covers",0,1
"cowardly",0,1
"crackheads",0,1
"crap",0,1
"craze",0,1
"crazed",0,1
"crazy",0,7
"created",0,2
"creates",0,1
"cried",0,1
"cries",0,1
"crime",0,11
"crimes",0,7
"criminal",0,1
"criminals",0,12
"critical",0,2
"critically",0,1
"cross",0,1
"crusades",0,1
"cry",0,1
"crying",0,1
"culpable",0,1
"cults",0,1
"culture",0,6
"cunts",0,1
"currency",0,1
"current",0,1
"cuz",0,2
"daily",0,1
"dailynnyour",0,1
"dallas",0,1
"damm",0,1
"damn",0,8
"damned",0,1
"dangerous",0,1
"darker",0,1
"darth",0,1
"darwin",0,1
"data",0,3
"dates",0,1
"dave",0,1
"david",0,1
"davyd",0,2
"day",0,9
"days",0,11
"daysnit",0,1
"dead",0,6
"deadlier",0,1
"deadliest",0,1
"deadly",0,2
"deal",0,2
"dear",0,1
"death",0,3
"deathn",0,1
"deaths",0,14
"dec",0,1
"decade",0,1
"december",0,1
"decent",0,1
"decide",0,1
"decision",0,2
"decreased",0,1
"deep",0,2
"def",0,1
"defence",0,1
"defend",0,2
"defending",0,1
"defendingn",0,1
"defense",0,1
"defenseless",0,2
"defiantly",0,1
"definitely",0,1
"delay",0,1
"delete",0,1
"democracy",0,2
"democratic",0,3
"democratically",0,1
"derived",0,1
"desensitized",0,1
"deserve",0,2
"designed",0,2
"destroyed",0,2
"destructions",0,1
"detective",0,1
"developed",0,1
"developing",0,1
"development",0,1
"did",0,4
"didnt",0,3
"die",0,4
"died",0,4
"difference",0,4
"different",0,7
"differnt",0,1
"diners",0,1
"direct",0,1
"disable",0,1
"disagreesnthe",0,1
"disciple",0,1
"disgusting",0,5
"disorder",0,1
"distasteful",0,1
"distract",0,1
"disturbed",0,1
"dkr",0,1
"documentaries",0,1
"documentary",0,1
"dogma",0,1
"dogs",0,1
"dogwhistles",0,1
"dollar",0,1
"dollars",0,1
"domesticated",0,1
"done",0,2
"donì¢åûåªt",0,2
"double",0,1
"douche",0,1
"douchebag",0,1
"drew",0,1
"drives",0,1
"drugs",0,8
"dude",0,2
"dudes",0,1
"dumb",0,3
"dumbass",0,2
"dumbasses",0,1
"dwarfed",0,1
"dylan",0,1
"early",0,1
"earth",0,3
"easier",0,7
"easily",0,4
"easy",0,3
"eaten",0,1
"eating",0,1
"economic",0,1
"economy",0,1
"educate",0,2
"education",0,2
"educational",0,1
"effect",0,3
"effects",0,1
"either",0,5
"elected",0,2
"electrical",0,1
"elementary",0,3
"elizabeth",0,3
"else",0,2
"embarrassed",0,1
"emotion",0,1
"end",0,2
"englands",0,1
"enjoyed",0,1
"enough",0,7
"entered",0,1
"entertainment",0,1
"entire",0,2
"episode",0,1
"eric",0,1
"especailly",0,1
"especially",0,1
"essence",0,1
"etc",0,6
"etcif",0,1
"etcn",0,2
"eternity",0,1
"europethen",0,1
"evangelical",0,1
"event",0,1
"events",0,8
"ever",0,10
"every",0,13
"everybody",0,1
"everybodys",0,1
"everyday",0,1
"everyone",0,6
"everything",0,3
"everythingn",0,1
"everyweek",0,1
"everywhere",0,1
"evil",0,1
"exaggerate",0,1
"example",0,6
"examples",0,2
"excellent",0,2
"except",0,2
"executive",0,1
"exhaustive",0,1
"exist",0,2
"existencennobama",0,1
"expect",0,1
"explain",0,3
"explanation",0,1
"exploit",0,1
"exploiting",0,1
"exporter",0,1
"extremely",0,2
"eyes",0,1
"face",0,1
"facepalm",0,1
"fact",0,18
"factors",0,1
"facts",0,1
"factsnus",0,1
"faculties",0,1
"faggets",0,1
"failed",0,1
"fails",0,1
"fair",0,1
"faith",0,1
"faiths",0,1
"fallacy",0,1
"falling",0,1
"fallow",0,1
"fame",0,1
"famenas",0,1
"families",0,4
"family",0,4
"famous",0,1
"fan",0,3
"far",0,5
"fascists",0,1
"fat",0,2
"father",0,1
"fault",0,1
"fav",0,1
"favoire",0,1
"fcking",0,2
"fear",0,6
"feb",0,1
"feel",0,7
"feels",0,2
"felt",0,1
"fertilizer",0,1
"fertilzer",0,1
"fetched",0,1
"fewer",0,1
"fidel",0,1
"fifth",0,1
"fight",0,1
"film",0,2
"filthy",0,1
"finacial",0,1
"final",0,1
"find",0,7
"finds",0,1
"fine",0,1
"finland",0,3
"fire",0,2
"firearm",0,6
"firearms",0,1
"first",0,10
"firstn",0,1
"fit",0,2
"five",0,1
"fix",0,2
"fixing",0,1
"flagging",0,1
"flirst",0,1
"flock",0,1
"floods",0,2
"flow",0,1
"fly",0,1
"focus",0,2
"folks",0,1
"follow",0,1
"fool",0,1
"foot",0,1
"footage",0,1
"for",0,4
"forbid",0,1
"force",0,1
"forcing",0,1
"foreseeable",0,1
"forever",0,1
"forget",0,2
"forgets",0,1
"forgive",0,1
"forgot",0,1
"forgotten",0,1
"form",0,1
"former",0,1
"fought",0,1
"found",0,2
"founding",0,1
"four",0,1
"fox",0,2
"freakin",0,1
"freaks",0,1
"fred",0,1
"free",0,6
"freedom",0,4
"freedoms",0,1
"friend",0,3
"friends",0,1
"frightening",0,1
"from",0,1
"frying",0,1
"ftw",0,1
"fuck",0,14
"fucked",0,4
"fucker",0,1
"fuckin",0,1
"fucking",0,18
"fucks",0,1
"fucktard",0,1
"fuel",0,1
"full",0,1
"fully",0,1
"function",0,1
"fundamentalist",0,1
"funny",0,3
"future",0,3
"futures",0,1
"fuzzy",0,1
"gain",0,2
"galaxy",0,1
"game",0,2
"gameim",0,1
"games",0,7
"garbage",0,1
"gas",0,1
"gasp",0,1
"gassed",0,1
"gat",0,1
"gave",0,1
"gay",0,3
"gdp",0,2
"gein",0,2
"generations",0,1
"genious",0,1
"genius",0,1
"genocide",0,1
"geographically",0,1
"george",0,1
"german",0,1
"germany",0,2
"gets",0,2
"getting",0,6
"ghettos",0,1
"giant",0,1
"gimme",0,1
"girl",0,3
"give",0,5
"given",0,2
"gives",0,1
"giving",0,2
"glad",0,5
"glorification",0,2
"glorify",0,1
"glorifying",0,1
"glory",0,1
"gns",0,1
"gnu",0,1
"god",0,59
"goddamn",0,1
"godnni",0,1
"gods",0,3
"godthings",0,1
"goes",0,6
"going",0,6
"golden",0,2
"goldstein",0,2
"gone",0,3
"gonna",0,3
"good",0,17
"goofball",0,1
"got",0,5
"goth",0,1
"gotta",0,2
"gov",0,2
"government",0,6
"governments",0,1
"governmentsmh",0,1
"governor",0,1
"govt",0,2
"grabs",0,2
"grade",0,2
"granddaughter",0,1
"grass",0,1
"great",0,1
"greens",0,1
"grim",0,1
"grotesque",0,1
"group",0,1
"groups",0,1
"grow",0,1
"gta",0,1
"guantanamo",0,1
"guard",0,1
"guess",0,3
"guessed",0,1
"guessing",0,1
"gun",0,73
"guncunt",0,1
"guncunts",0,1
"gunlovers",0,1
"gunmen",0,1
"gunmens",0,1
"gunmy",0,1
"guy",0,10
"guys",0,2
"gym",0,1
"hahahahaha",0,1
"hahhaha",0,1
"hakabee",0,1
"hand",0,1
"hands",0,3
"happen",0,15
"happend",0,3
"happened",0,21
"happening",0,5
"happens",0,9
"happy",0,1
"hard",0,4
"harder",0,3
"harm",0,1
"harming",0,1
"has",0,1
"hassan",0,1
"hate",0,3
"hatred",0,3
"have",0,2
"head",0,4
"headshot",0,1
"health",0,2
"healthcare",0,1
"hear",0,4
"heard",0,3
"hearing",0,1
"heart",0,3
"heartless",0,1
"hehe",0,1
"hell",0,5
"help",0,4
"her",0,1
"here",0,1
"hereself",0,1
"heritage",0,1
"heroin",0,1
"hes",0,5
"hey",0,1
"hicks",0,1
"hide",0,1
"high",0,12
"higher",0,1
"highest",0,7
"highs",0,1
"hilarious",0,1
"his",0,2
"history",0,7
"hit",0,2
"hitchens",0,4
"hitler",0,1
"hitting",0,1
"hold",0,1
"holds",0,1
"hole",0,1
"hollywood",0,1
"holmes",0,2
"holocausts",0,1
"holy",0,1
"home",0,5
"homeland",0,1
"homemade",0,4
"homeni",0,1
"homes",0,1
"hometown",0,1
"homicide",0,9
"homicides",0,1
"honduras",0,3
"honest",0,1
"honestly",0,1
"honor",0,1
"hook",0,12
"hope",0,7
"hoped",0,1
"horrible",0,5
"horriblen",0,1
"horrific",0,1
"horrifying",0,1
"horseshoe",0,1
"hosehead",0,1
"hour",0,1
"hours",0,1
"house",0,3
"houses",0,1
"how",0,9
"however",0,1
"huck",0,1
"huckabee",0,24
"huckabees",0,5
"huckashit",0,2
"huge",0,1
"huh",0,1
"human",0,7
"humans",0,1
"hundreds",0,3
"hunting",0,3
"hurt",0,3
"hurting",0,1
"hurts",0,1
"husband",0,4
"husbands",0,2
"hypocritical",0,1
"idea",0,6
"idealistic",0,1
"ideas",0,1
"ideology",0,1
"idiot",0,3
"idiots",0,5
"idols",0,1
"ignorance",0,1
"ignorant",0,2
"ignore",0,2
"ikillforkash",0,1
"ill",0,2
"illegal",0,3
"illegally",0,1
"imagine",0,3
"imbecile",0,1
"immaterial",0,1
"immigrants",0,1
"immortal",0,1
"implicitely",0,1
"implying",0,1
"important",0,1
"impotent",0,1
"improve",0,1
"inamiate",0,1
"incedents",0,1
"incident",0,1
"incidents",0,1
"include",0,1
"included",0,1
"includes",0,1
"including",0,4
"incourages",0,1
"increase",0,2
"indians",0,3
"indicted",0,1
"indie",0,1
"indifference",0,1
"indiginous",0,1
"industrialized",0,1
"infamous",0,9
"infamousndo",0,1
"infamus",0,1
"influence",0,2
"inform",0,1
"infringed",0,1
"initially",0,1
"injured",0,1
"inn",0,1
"innocent",0,5
"inquisition",0,1
"insane",0,1
"insanely",0,1
"inside",0,4
"inspire",0,1
"instead",0,3
"insult",0,2
"insulted",0,1
"intellengent",0,1
"intelligent",0,1
"intended",0,4
"intent",0,1
"intentional",0,5
"intentions",0,1
"interest",0,2
"interesting",0,4
"intervention",0,1
"interventionist",0,1
"interview",0,1
"interviews",0,1
"inturupt",0,1
"invade",0,1
"invalid",0,1
"invest",0,2
"invested",0,1
"iraq",0,1
"irony",0,1
"islamist",0,1
"isnt",0,2
"israel",0,1
"israeli",0,1
"issue",0,8
"issues",0,1
"items",0,1
"its",0,7
"ive",0,3
"jail",0,1
"james",0,2
"japan",0,2
"jerk",0,2
"jerks",0,1
"jesus",0,3
"jew",0,1
"jewish",0,1
"jews",0,1
"job",0,3
"jobs",0,1
"joe",0,1
"joke",0,1
"journal",0,1
"judge",0,2
"jump",0,1
"junch",0,1
"justify",0,1
"justin",0,1
"kahane",0,1
"keep",0,4
"keeps",0,1
"kid",0,1
"kiddys",0,1
"kids",0,15
"kill",0,22
"killed",0,12
"killers",0,4
"killing",0,7
"killings",0,3
"kind",0,5
"kinda",0,4
"kingdom",0,3
"knee",0,2
"knelt",0,1
"knew",0,4
"knife",0,1
"knives",0,4
"knowing",0,2
"knows",0,2
"kurdish",0,1
"lady",0,1
"lake",0,1
"lakewood",0,1
"land",0,1
"lanza",0,1
"large",0,1
"largely",0,1
"largest",0,4
"last",0,5
"late",0,2
"later",0,5
"latest",0,1
"laughing",0,1
"law",0,9
"lawmakers",0,1
"laws",0,16
"lax",0,3
"laxnunited",0,1
"lbs",0,1
"lead",0,1
"learn",0,5
"learning",0,1
"least",0,4
"leave",0,1
