"","1","2"
"aab",0,1
"abcs",0,1
"abhorrently",0,1
"abiding",0,15
"ability",0,2
"able",0,42
"abnormal",0,1
"abnormalâ",0,1
"abolishment",0,1
"abour",0,1
"about",0,3
"abraham",0,2
"abroad",0,1
"absence",0,1
"absent",0,1
"absolute",0,4
"absolutely",0,9
"abuse",0,9
"abused",0,2
"abusing",0,2
"academy",0,1
"accept",0,2
"acceptable",0,2
"accepting",0,1
"access",0,9
"accessible",0,4
"accessories",0,1
"accident",0,2
"accidently",0,1
"accidents",0,1
"accomplish",0,3
"accomplished",0,2
"accorded",0,1
"according",0,4
"account",0,2
"accountability",0,2
"accountable",0,1
"accounts",0,1
"accurate",0,2
"accuse",0,1
"accusing",0,2
"achieve",0,2
"acknowledge",0,1
"acknowledged",0,1
"acknowledgeâ",0,1
"acknowledging",0,1
"acquire",0,1
"acquired",0,1
"across",0,7
"act",0,14
"acted",0,2
"acting",0,1
"actingncorrect",0,1
"action",0,4
"actions",0,12
"actionsâ",0,1
"active",0,2
"activity",0,4
"actor",0,2
"actors",0,2
"acts",0,8
"actual",0,6
"actually",0,61
"actualâ",0,1
"adam",0,7
"adams",0,1
"adamsnthe",0,1
"adamsâ",0,1
"add",0,9
"added",0,1
"addicts",0,2
"adding",0,1
"address",0,1
"adequatelyâ",0,1
"adjective",0,1
"adl",0,1
"administered",0,1
"administration",0,2
"admit",0,2
"adn",0,1
"adolf",0,1
"adopt",0,1
"adopted",0,1
"ads",0,2
"adult",0,3
"adults",0,4
"advantage",0,3
"advice",0,1
"advicefreedom",0,2
"advocate",0,6
"advocated",0,1
"advocates",0,4
"advocating",0,1
"affect",0,5
"affected",0,1
"affects",0,2
"afflicted",0,1
"afford",0,2
"afforded",0,1
"afganistan",0,1
"afghanistan",0,1
"afraid",0,2
"africa",0,5
"african",0,2
"after",0,8
"afterwards",0,1
"again",0,4
"agains",0,1
"age",0,6
"agenda",0,3
"agent",0,1
"agents",0,1
"ages",0,2
"ago",0,12
"agree",0,29
"agreed",0,4
"aha",0,1
"ahahaha",0,1
"ahead",0,8
"ahhh",0,1
"ahold",0,2
"aholes",0,1
"aid",0,1
"aids",0,1
"aim",0,2
"aimed",0,2
"aiming",0,1
"aint",0,2
"air",0,1
"aircraft",0,1
"airportn",0,1
"airsoft",0,4
"akannw",0,1
"akd",0,1
"aks",0,7
"alabama",0,3
"alan",0,1
"alarm",0,2
"alasâ",0,1
"albeit",0,1
"albionto",0,3
"alcohol",0,20
"alcoholguns",0,1
"alcoholics",0,1
"alcoholnnage",0,1
"alex",0,1
"alexander",0,1
"alexis",0,4
"alexsâ",0,1
"algebra",0,1
"alienated",0,1
"aliens",0,1
"alisa",0,1
"alive",0,5
"all",0,42
"allmost",0,1
"allot",0,1
"allow",0,15
"allowed",0,30
"alloweed",0,1
"allowing",0,8
"allows",0,5
"allowâ",0,1
"allways",0,1
"almighty",0,1
"almost",0,23
"alone",0,12
"aloneâ",0,1
"along",0,5
"alongndylan",0,1
"alot",0,10
"aloud",0,2
"alowe",0,1
"alqaeda",0,1
"already",0,28
"alright",0,1
"also",0,59
"altered",0,1
"although",0,6
"always",0,53
