"","1","2"
"aamerica",0,1
"abandon",0,1
"abc",0,2
"abe",0,1
"abide",0,2
"abiding",0,27
"abilities",0,1
"ability",0,9
"abilty",0,1
"abit",0,2
"able",0,41
"abolished",0,1
"abortions",0,1
"about",0,9
"aboutâ",0,1
"abouyt",0,1
"absence",0,4
"absolute",0,1
"absolutely",0,15
"absolutley",0,1
"absolutly",0,2
"absurd",0,1
"abundance",0,1
"abundant",0,1
"abuse",0,5
"abused",0,4
"abyss",0,1
"academy",0,1
"accept",0,6
"acceptable",0,1
"accepted",0,1
"accepting",0,1
"accepts",0,1
"access",0,21
"accessable",0,1
"accessed",0,1
"accessibility",0,2
"accessible",0,1
"accident",0,2
"accidental",0,5
"accidentally",0,3
"accidentaly",0,3
"accidents",0,10
"accidentthats",0,1
"accomplish",0,3
"accomplished",0,1
"according",0,14
"accordingly",0,1
"account",0,8
"accountable",0,3
"accounting",0,1
"accounts",0,3
"accurate",0,2
"accusations",0,1
"accuse",0,1
"accused",0,2
"acess",0,1
"achieve",0,3
"achieved",0,1
"achievement",0,1
"achievementnserves",0,1
"acknowledge",0,5
"acknowledging",0,4
"acne",0,1
"acoustic",0,1
"acquire",0,3
"acquired",0,1
"acquiring",0,2
"acr",0,1
"acronym",0,1
"across",0,10
"acsees",0,1
"act",0,20
"actaully",0,1
"acted",0,3
"acting",0,4
"action",0,5
"actions",0,14
"actionsn",0,1
"active",0,1
"actively",0,2
"activities",0,1
"activity",0,1
"actors",0,2
"actresses",0,1
"acts",0,14
"actual",0,12
"actuall",0,1
"actually",0,110
"actualy",0,1
"actully",0,1
"adam",0,4
"adamantly",0,1
"adams",0,1
"adapted",0,1
"add",0,12
"added",0,4
"addict",0,2
"addicted",0,1
"addiction",0,1
"adding",0,4
"additionally",0,1
"address",0,6
"addressed",0,2
"addressing",0,1
"adds",0,3
"adept",0,1
"adequate",0,1
"aderalle",0,1
"adhesivebreaknni",0,1
"adjacent",0,3
"adjust",0,1
"adjusted",0,2
"administration",0,2
"admit",0,10
"admits",0,2
"admitted",0,1
"adolescents",0,1
"adolf",0,1
"adopted",0,1
"adrenaline",0,1
"adress",0,2
"ads",0,5
"adult",0,5
"adults",0,10
"advance",0,1
"advances",0,1
"advancing",0,1
"advantage",0,4
"advantages",0,1
"advents",0,1
"adventuren",0,1
"adventures",0,1
"adverse",0,1
"advert",0,1
"advertise",0,1
"advertisements",0,1
"advertisers",0,2
"advertises",0,1
"advice",0,2
"advocate",0,1
"advocates",0,2
"aerial",0,1
"affair",0,2
"affect",0,7
"affected",0,6
"affectednwhoever",0,1
"affecting",0,1
"afford",0,5
"afganistan",0,1
"afghan",0,1
"afghanistan",0,3
"afghanistanthats",0,1
"afraid",0,13
"afraiddo",0,1
"africa",0,8
"african",0,4
"africas",0,1
"after",0,9
"aftermath",0,1
"afterwards",0,5
"again",0,6
"against",0,3
"age",0,13
"agenda",0,9
"agendasperiod",0,1
"agents",0,1
"ages",0,3
"aggression",0,1
"aggressive",0,2
"agian",0,1
"aginst",0,2
"ago",0,24
"agonnand",0,1
"agony",0,1
"agree",0,66
"agreed",0,4
"agreee",0,1
"agreement",0,1
"agrees",0,2
"agruement",0,1
"ahahahah",0,1
"ahahahaha",0,1
"ahahahha",0,1
"ahead",0,10
"ahem",0,1
"ahh",0,1
"ahhh",0,1
"ahold",0,1
"ahole",0,2
"ahwale",0,1
"aids",0,2
"aim",0,2
"aimed",0,2
"ainda",0,2
"aint",0,3
"air",0,3
"airforce",0,1
"airplanes",0,2
"airplanesprobably",0,1
"airport",0,2
"airtime",0,1
"aka",0,2
"aks",0,1
"akward",0,1
"alamien",0,1
"alan",0,1
"alarm",0,1
"alaska",0,1
"alberston",0,1
"albert",0,1
"alciada",0,1
"alcohol",0,9
"alert",0,1
"alerting",0,1
"alfred",0,2
"alien",0,3
"alienation",0,1
"aliens",0,5
"aliensnot",0,1
"align",0,1
"alittle",0,2
"alive",0,14
"all",0,51
"allahs",0,1
"alleged",0,1
"allen",0,1
"alley",0,1
"allied",0,1
"allies",0,7
"allmost",0,1
"allot",0,3
"allow",0,16
"allowded",0,1
"allowed",0,53
"allowing",0,5
"allows",0,7
"allowâ",0,1
"allso",0,1
"alltimes",0,1
"allâ",0,1
"almighty",0,1
"almost",0,32
"alone",0,21
"along",0,9
"alot",0,21
"aloud",0,2
"alquaeda",0,1
"already",0,34
"alreadyyouve",0,1
"alreadyâ",0,1
"alright",0,6
"also",0,153
"altered",0,2
"altering",0,1
"alternative",0,1
"although",0,9
"altogether",0,2
"altough",0,1
"always",0,70
"amanda",0,1
"amazed",0,1
"amazing",0,8
"amazingly",0,1
"ambition",0,1
"ambulance",0,1
"amem",0,1
"amen",0,5
"amend",0,1
"amendment",0,63
"amendments",0,5
"amennn",0,1
"amerca",0,1
"ameriaka",0,1
"america",0,252
"americaaustraliaunited",0,1
"americamillions",0,1
"american",0,105
"americanafter",0,1
"americando",0,1
"americani",0,1
"americanlmfao",0,1
"americans",0,107
