"","his_data_2013.his_all_comments.textOriginal"
"1","You're honestly just as conniving and manipulative with an agenda than Mike himself, Sam."
"2","Let's not forget the cooling off period. Someone can get angry and in the heat of the moment they grab their gun and start shooting. If someone has to go home and make a bomb, chances are at some point they are going to start thinking about the consequences and perhaps not go ahead with it. Not in every case, but removing the immediate access to a weapon that can cause mass death allows for people to cool down and become more rational."
"3","I never understood the argument about needing gun to defend against the government.  Do you realistic believe that mere civilians with guns could really defends themselves from an invasion from the single most powerful army in the world? I have to say that you sir are greatly underesteemating our professional trained men and women thats currently serving in the army. By the way, how do you think our guns would fair against the drones, tanks, missle, and nuclear weapons (and god knows what else)?"
"4","also since you sound like a religious person from your post, I would like to ask you this question: If he was living on this earth today, do you think that Jesus Christ (the guy who preaches to turn the other cheeks and to love your enemy) would be pro gun, pro gun safety, or outright anti gun?"
"5","well guns are not allowed in Britain and their yearly gun-related deaths are only at 35, while in the U.S where owning a gun is allowed the number is in eleven thousands.  As you can see there's a big difference between 35 and 11,000 people dying yearly because of gun violence and as a Jesus Christ follower, I think every christian owes to themselves to fight to reduce gun violence and the uneccesary gun-related deaths that they causes."
"6","stricker GUN laws would make acess to guns harder , and would therefore make gun-related death harder."
"7","Australia banned guns and crime skyrocketed the next year. When you ban something, you simply create a criminal enterprise to supply law-breakers with that which is banned. Prohibition simply created Al Capone and bootleg criminal rackets. It was repealed, and you don't have alcohol kingpins today. Banning something is a proven way to nourish a criminal enterprise supply system."
"8","Did you honestly not know about this? Have you been living under a rock? "
"9","In canada?"
"10","kids were piled up according to one source? WTF? 1 MIN TEN IN...........LOL "
"11","Parents told them, ""If you are good, we'll get ice cream afterwards ... and candy ... and toys ... we'll go to unka Gene's and sit of the floor and pretend we are cub scouts and rehearse a play with Unka Gene"""
"12","He was not supposed to allow himself to be on camera."
"13","LOL, no, I didn't. thanks!
"
"14","6:21 Guy in white comes into the scene ALL SMILES, notices he's on camera and quickly backs out of the picture, followed by kid jumping up and down like crazy in front of the camera...."
"15","at 6:26
watch the people laughing in the background... yeah, I'm sure that a mass murder of children just happened right up the road from them..."
"16","the kid at 6:28 is proof that you just never know how people might react to severe trauma and grief."
"17","At 5:44 can anyone tell what the guy to the left of the guy being interviewed is muttering to himself?  He seems to be saying something about the guy that was ""walked out of the woods""."
"18","3:27 Blue sweater guy covering his mouth as he talks into his phone?"
"19","Somehow I missed this video from the beginning.  There's some different shots here, and I don't think any other station captured the Dad with his little pink-clad shooting witnesses.  "
"20","GAP product placement FAIL."
"21","good eye."
"22","It's a very suspicious ""scene"" in all of this."
"23","And, reportedly, only 1 girl survived from Rousseau's class, and neither of these girls are covered in blood, as THAT child reportedly was.  Aside from Hammond, there was another teacher shot in the ""extremeties"", supposedly a kindergarten teacher.  Reports of her shot while trying to hold the door shut?  Can anyone respond to that. In any case, I guess the alleged shooter did not enter the classroom.  A small town production of ""Annie"" could have produced better ""witnesses"" with more emotion."
"24","You're talking about the Dad and possible ""twins"" (who look a bit ""ethnic""?)?  So,  someone came into their room and shot a teacher.  Okay, first off, schools don't usually keep twins together in the same class.  And I don't recall ""twins"" in either Soto's or Rousseau's class.  According to the Newtown school district website, the elementary schools don't offer breakfast. Otherwise, I'd think that they had drugged the little suckers.  Speaking of dumbing down.  "
"25","10:45  short sleeved shirt in December?  I mean, seriously!  I speak for my parents and all CT taxpayers when I say that we don't want to pay for that friggin' blanket or whatever the EMS worker is putting around the tiny tot.  "
"26","I think it is entirely possible that a camera was setup, streaming live from that location, and the reporter and the father and daughters were in front of a green screen, it is technically possible and does not stretch the technical limits of modern, computer assisted green screen to any degree."
"27","We cannot tell where those tree shadows are coming from, if they are on an incline, or in a depression, etc ... I'm considering them, but we don't know the source and condition of those objects. What we do see without a doubt is the shadows in the middle of the road, these are clear and well defined and seem to be of substantial merit compared to other objects casting shadows which cannot be identified."
