"","1","2"
"aaaa",0,1
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaanteacher",0,1
"aaaaaaaaaaaaaaaaðufu±",0,1
"aaaaaaand",0,1
"aaaaah",0,1
"aaaaahhhhhhh",0,1
"aahh",0,1
"abac",0,1
"abandoned",0,1
"abc",0,13
"abcs",0,1
"aberdeenshire",0,1
"abiding",0,1
"abilities",0,1
"ability",0,3
"able",0,57
"abnormally",0,1
"abort",0,1
"abortion",0,1
"abortionsnfuck",0,1
"about",0,9
"abrams",0,2
"abrendhand",0,1
"abri",0,1
"absolute",0,2
"absolutely",0,13
"absorbance",0,1
"absurd",0,1
"abviously",0,1
"academy",0,9
"accelerate",0,1
"accelerated",0,2
"accent",0,1
"accept",0,5
"accepting",0,1
"accepts",0,1
"access",0,11
"accident",0,8
"accidentally",0,5
"accidently",0,2
"accidents",0,1
"acciedentally",0,1
"accomplished",0,1
"accomplishing",0,1
"according",0,2
"account",0,4
"acctualy",0,1
"accurate",0,1
"accustomed",0,2
"acessible",0,1
"ached",0,1
"acid",0,8
"acidently",0,1
"acidic",0,1
"ack",0,4
"acknowledge",0,1
"acknowledging",0,1
"acp",0,2
"acquired",0,1
"across",0,37
"act",0,22
"acted",0,5
"acter",0,1
"acting",0,9
"action",0,5
"activate",0,2
"activated",0,2
"active",0,54
"actively",0,1
"activity",0,1
"actor",0,7
"actors",0,12
"acts",0,3
"actual",0,63
"actually",0,181
"actuallynnthey",0,1
"actualy",0,1
"actully",0,1
"acually",0,1
"acute",0,1
"acutly",0,1
"adam",0,8
"adapt",0,1
"add",0,21
"addition",0,1
"address",0,1
"adequate",0,1
"admin",0,1
"administration",0,2
"administrators",0,1
"admissions",0,1
"admit",0,5
"admitting",0,1
"adn",0,1
"adolf",0,1
"adrenalin",0,2
"adrenaline",0,3
"ads",0,1
"adult",0,4
"adults",0,9
"advance",0,2
"advanced",0,2
"advantage",0,4
"adventure",0,1
"advice",0,4
"advise",0,1
"advised",0,1
"advisors",0,1
"advisory",0,1
"afar",0,1
"affair",0,1
"affect",0,2
"affected",0,1
"afficiouls",0,1
"affiliate",0,1
"afford",0,1
"afghan",0,2
"afnn",0,1
"afnrest",0,1
"afraid",0,17
"african",0,1
"afro",0,1
"after",0,20
"afternoon",0,2
"afterschool",0,4
"afterschools",0,1
"afterwards",0,2
"aftullay",0,1
"again",0,5
"against",0,1
"againts",0,1
"age",0,9
"agenda",0,1
"agent",0,2
"agents",0,1
"ages",0,4
"agg",0,1
"aggressive",0,2
"aggressively",0,1
"agh",0,1
"aghhh",0,1
"aghhhhhhhhh",0,1
"agin",0,1
"agnieszka",0,1
"ago",0,48
"agonnnlike",0,1
"agradecido",0,1
"agree",0,17
"agreed",0,4
"agreeing",0,1
"agreement",0,1
"aha",0,3
"ahah",0,1
"ahaha",0,1
"ahahha",0,1
