"","his_data_2017.his_all_comments.textOriginal"
"1","me in school gun thingys 
class:*being silent*
me:SORRY I CAN'T TAKE IT
me:*laughs*
class except me:*gets shot*
me:*fights shooter* lol"
"2","When my school had a lock down drill,the person came in and my teacher chucked  a stack of books at the fake shooter. Lol that class will alwes be my favorite."
"3","3:49 when the teacher has paper for the quiz"
"4","never knew they said columbine"
"5","Only in america..."
"6","OMG ITS JOHN CENA WWE"
"7","I would freak the fuck out. One time this year my sons school had a lock down and I was screaming at staff for the lack of answers. Something like this would piss me off so much! 




BUT!!!

At the same time you’d want to make sure your son is safe in this situation."
"8","When I was a kid, I used to think that the teachers had a secret button under there desk that reveals a wall of hidden weapons full of Assault rifles and stuff so they could go full storm trooper on school shooters"
"9","I kind of want them to say “this is not a drill” even though it is to see if the kids and teachers payed attention to how to handle the situation but this could give so kids trauma so idk"
"10","When we do lock down drills at my school the teacher just locks the door and make sure no ones in the halls. They don't even turn the lights of we just keep going thourgh the lesson just with the door locked."
"11","I'm in germany and there was never a school shooter. Cuz every american has a fucking gun without any license or some shit like that. Thats why i never go to america....."
"12","So sitting down is going to help !"
"13","I used to live in Colorado!!!"
"14","in my school we have a simple fire drill were we need to get out of the school fast af and shit scares me to the bone"
"15","This some next level drill, lol when i was in high school my teachers tell us to keep working, dont even tell us to be quiet..."
"16","Okay, this needs to happen in my school? Do you know how many kids in my classes will be joking around and loud and all that during a drill as if it's a *joke*?"
"17","these kids are pussies"
"18","back in my parent's now non existent country child predators had a bullet put into their head and guns were only military not civilian. dumb fucking americans, the problem is in the law. not only are ordinary people allowed to possess guns but teenagers too, thats what needs changing."
"19","Dumb bitch grassing on her husband!"
"20","1:06 kinda scared i would be scared out of my life"
"21","Pussys"
"22","Dang, my school drills aren’t this interesting. At my old school, all we did was hide in the corner of the classroom, turned off the lights, and locked the doors."
"23","school shooters went to schools. that why they know where all the kids are.
fun fact theyre all huddled together inside of a locked class room leaning against the wall with the door"
"24","3:40 I want to do that 
And take him down"
"25","It's so cute how the teachers really try to protect their students that just shows how much they love their job."
"26","My classmates during a drill they all freaking talk. Most of my teachers like me so they tell me if there’s a drill that day. But they are SO loud. My savage teacher said to one of the boys that if he did not stop talking she would put him in the hall way."
"27","my school got shoot"
"28","I remember having a school lockdown once. I was sitting near a bookshelf and grabbed a book from that shelf before hiding under my desk like everyone else. The insane man was armed with a baseball bat and I threw the book at him, and it missed. While he was distracted the teacher came and took him down. I got badly told off when I probably saved the lives of many kids.."
"29","You wait by the door and when they walk in you slam they head on the wall  pick they gun up and shoot em"
"30","I was in a real shooting in school last week but everyone was freaking out while the whole time I was thinking how to kill him but police got him"
"31","So now all the shooters know where the kids and students go.."
"32","You know they lock the door right"
"33","Or school could just not be a thing"
"34","Omg I thought its the story of the song pumped up kicks"
"35","I would off shit my pants if I was one of those kids"
"36","my teacher keeps a taser gun in her cabinet"
"37",">everybody go behind my desk
>throws grenade behind desk
>shit"
"38","It's called a lockdown idiots"
"39","Lol i know how to box so"
"40","I get it, but there is no way this method would be allowed in the UK. Too psychologically damaging."
"41","Jody the teacher at the end she's like hell yeah I'm in this😂😂"
"42","They don’t need stupid drills like this if gun control is in place."
"43","Our teacher keeps a taser in her desk. Everyone mocked her for it. But one day, a man smashed a window and ended up in our class. She was so quick. She saved all of us that day, every month we all give her a gift to thank her."
"44","We wouldnt have to worry about it..if it wasnet for white people."
"45","At my school we literally just turn to the lights and hide in a corner, no one even knocks on the doors lol"
"46","they should put more guns in the schools to make them safer

dumb litbards won't do it though"
