"","comments_real","comments_2012","comments_2013","comments_2014","comments_2015","comments_2016","comments_2017"
"hehehehehehenpolice",1,0,0,0,0,0,0
"hehheheehheheheheh",1,0,0,0,0,0,0
"heirlooms",1,0,0,0,0,0,0
"held",3,0,5,4,4,3,10
"helena",2,0,0,0,0,0,0
"hell",33,5,60,18,17,74,87
"hella",2,0,1,0,1,0,4
"hello",1,0,2,0,1,3,6
"hells",2,0,1,1,0,1,1
"hellðufu­ðufu­ðufu­ðufu­",1,0,0,0,0,0,0
"helmet",3,0,0,0,0,2,4
"help",36,4,61,31,35,80,97
"helped",2,0,6,3,1,1,3
"helping",1,0,8,1,2,10,11
"helpless",2,0,3,3,2,1,0
"helpnlighten",1,0,0,0,0,0,0
"helps",2,0,5,1,3,6,13
"hemisphere",1,0,0,1,0,0,0
"hence",2,0,4,3,1,2,1
"henchman",1,0,0,0,0,0,0
"henrik",1,0,0,0,0,0,0
"her",10,1,1,0,0,4,3
"herd",1,0,0,3,0,1,2
"here",1,1,3,7,3,19,33
"heres",1,0,3,1,6,11,7
"hereâuud",1,0,0,0,0,0,0
"hereâuus",1,0,0,0,0,0,0
"hero",4,0,1,3,11,23,30
"heroes",1,0,2,4,3,4,6
"heroics",1,0,0,0,0,0,0
"heroâuus",1,0,0,0,0,0,0
"herpes",1,0,0,0,0,0,0
"herself",1,0,0,0,0,0,0
"hes",11,5,21,6,7,17,7
"hesitate",1,0,0,3,0,1,1
"hesitation",1,0,1,0,0,1,1
"heston",1,0,0,0,0,0,0
"hey",14,1,23,7,7,37,38
"heâuus",10,0,0,0,0,0,5
"hid",1,0,0,0,3,22,42
"hidable",1,0,0,0,0,0,0
"hidden",3,0,0,3,4,8,17
"hide",5,1,5,6,34,233,353
"hideous",1,0,0,0,0,0,1
"hides",1,0,0,0,1,7,11
"hiding",5,0,0,1,13,105,149
"high",25,12,48,34,47,129,110
"higher",6,1,18,16,7,10,10
"highest",4,7,21,14,7,7,3
"highly",1,0,4,13,2,4,4
"highschool",3,0,4,2,5,17,21
"hiiiiii",1,0,0,0,0,0,0
"hijacker",2,0,0,0,0,0,0
"hijacking",1,0,0,0,0,0,0
"hijacks",1,0,0,0,0,0,0
"hilarious",2,1,2,5,1,6,3
"hilariously",2,0,0,2,1,0,0
"him",13,0,0,0,2,7,16
"himâuud",1,0,0,0,0,0,0
"himðufu¡ðufu¡ðufu­",1,0,0,0,0,0,0
"hips",1,0,0,0,0,0,1
"hire",1,0,1,2,1,8,4
"hiring",1,0,1,0,1,2,1
"hirl",1,0,0,0,0,0,0
"his",13,2,4,4,2,4,6
"hispanic",3,0,1,2,3,1,2
"hispanics",2,0,0,1,0,1,2
"history",3,7,57,26,13,25,26
"hit",3,2,13,3,7,69,64
"hitler",9,1,11,10,3,10,2
"hits",4,0,0,1,1,7,4
"hmm",3,0,7,1,1,3,3
"hmmm",1,0,6,1,2,1,8
"hoax",3,0,7,20,34,29,17
"hoaxnobody",1,0,0,0,0,0,0
"hobby",1,0,4,3,1,1,0
"hoch",2,0,0,0,0,0,0
"hogg",6,0,0,0,0,0,0
"hoggs",1,0,0,0,0,0,0
"hoggwash",1,0,0,0,0,0,0
"hogy",1,0,0,0,0,0,0
"hold",4,1,27,9,9,27,35
"holding",5,0,4,2,7,16,24
"holds",1,1,2,1,3,3,5
"holes",1,0,3,3,1,7,0
"holler",1,0,0,0,0,0,0
"hollywood",2,1,6,9,0,2,0
"holocaust",1,0,1,0,1,0,1
"holy",7,1,12,4,9,17,20
"home",7,5,40,39,20,53,77
"homemade",7,4,1,1,4,0,0
"homework",1,0,0,0,1,5,4
"homicide",1,9,8,6,31,1,1
"homie",2,0,0,1,0,0,0
"homodumbs",1,0,0,0,0,0,0
"honest",8,1,9,11,4,14,26
"honestly",13,1,16,11,11,46,45
"honey",1,0,2,1,0,0,2
"honeybaked",1,0,0,0,0,0,0
"honor",2,1,3,0,1,2,1
"honorable",1,0,1,2,2,2,5
"hood",2,0,13,15,4,10,11
"hook",8,12,200,108,72,92,111
"hooligans",1,0,0,0,0,0,0
"hope",38,7,34,16,29,48,41
"hopefully",1,0,3,1,1,5,12
"hopelessness",1,0,0,0,0,0,0
"hopes",1,0,1,0,0,1,0
"hopping",1,0,0,0,0,4,1
"horible",1,0,1,0,0,0,0
"horrendous",1,0,0,2,1,1,0
"horrible",17,5,33,9,8,20,23
"horrific",9,1,8,4,3,3,3
"horrifying",5,1,2,1,1,0,2
"horrile",1,0,0,0,0,0,0
"horror",2,0,4,0,0,0,3
"horse",1,0,0,2,4,1,0
"hospital",2,0,1,6,7,4,7
"hot",26,0,5,2,3,12,10
"hott",1,0,0,0,0,0,0
"hotter",1,0,0,0,0,0,0
"hottie",1,0,0,0,0,0,0
"hotðufuuðufuuðufuu",1,0,0,0,0,0,0
"hour",1,1,6,4,8,41,55
"hours",2,1,3,6,17,64,91
"house",3,3,19,23,3,18,23
"houses",1,1,2,1,0,1,0
"houshold",1,0,0,0,0,0,0
"how",18,9,68,40,40,89,104
"howells",2,0,0,0,0,0,0
"however",3,1,28,13,9,15,8
"hrichi",2,0,0,0,0,0,0
"hstes",1,0,0,0,0,0,0
"httpsmyoutubecomwatchvulwhqcqxxs",1,0,0,0,0,0,0
"httpsnewsnetwatchvideophpvrxuuskhawx",1,0,0,0,0,0,0
"httpswwwcnncomworldasiachinarailwayattackindexhtmlnlook",2,0,0,0,0,0,0
"httpswwweconomistcomblogsgraphicdetailgraphicsamericasguns",1,0,0,0,0,0,0
"httpswwwfacebookcomviceselectsvideosuzpfstewmdawmdgmjyzotcndoxodexmzkmdiodkotm",1,0,0,0,0,0,0
"httpswwwliveleakcomviewb",1,0,0,0,0,0,0
"httpswwwyoutubecomwatchvdmnymcdprdknand",1,0,0,0,0,0,0
"httpswwwyoutubecomwatchvgjvsovgtvio",1,0,0,0,0,0,0
"httpswwwyoutubecomwatchvtirktgjim",2,0,0,0,0,0,0
"httpswwwyoutubecomwatchvzljdwgkijnmarjory",1,0,0,0,0,0,0
"httpvelociteriumcomzwd",1,0,0,0,0,0,0
"huddled",1,0,0,1,6,10,21
"huge",4,1,13,5,6,20,21
"hugs",1,0,1,1,0,0,2
"huh",5,1,10,6,2,7,9
"hum",1,0,0,0,0,0,0
"human",15,7,49,18,9,13,9
"humanity",5,0,13,4,0,4,4
"humans",2,1,29,8,1,5,7
"humble",1,0,0,0,0,0,0
"humblenmy",1,0,0,0,0,0,0
"humilliated",1,0,0,0,0,0,0
"humor",4,0,0,0,1,2,0
"hundred",1,0,6,2,4,2,6
"hundreds",1,3,8,5,5,3,5
"hung",1,0,1,0,0,0,2
"hunted",2,0,0,0,0,0,0
"hunter",1,0,1,0,0,2,2
"hunters",2,0,1,1,1,1,5
"hunting",10,3,31,13,4,3,9
"hurricane",1,0,0,0,0,0,3
"hurt",14,3,14,8,14,37,52
"hurting",2,1,5,1,3,2,3
"hurts",2,1,6,1,1,5,3
"hurtðufu¢ðufu¢",1,0,0,0,0,0,0
"hypocrite",2,0,3,0,0,0,0
"hypocrites",1,0,0,1,0,0,1
"hypocritical",1,1,1,2,1,0,0
"hysterically",1,0,1,0,0,0,1
"hã¤tte",4,0,0,0,0,0,0
"ice",1,0,2,2,1,2,2
"icelands",1,0,0,0,0,0,0
"icenive",1,0,0,0,0,0,3
"idea",11,6,46,16,23,131,108
"identification",1,0,0,0,1,0,0
"identified",1,0,4,0,0,0,0
"identify",1,0,0,0,1,2,0
"idgaf",1,0,0,0,1,1,1
"idiocy",1,0,2,0,0,0,1
"idiot",16,3,45,18,10,21,27
"idiotic",2,0,7,1,1,3,6
"idiots",11,5,27,18,14,25,27
"idiotstupid",1,0,0,0,0,0,0
"idk",8,0,4,1,2,29,29
"idol",1,0,1,2,0,0,0
"idolaters",1,0,0,0,0,0,0
"idolized",2,0,0,0,0,0,0
"idolizing",1,0,0,0,0,0,0
"ids",2,0,0,0,0,0,0
"ifwhen",1,0,0,0,0,0,0
"ignorant",6,2,41,32,4,10,1
"ignorantly",1,0,1,0,0,0,0
"ignore",3,2,9,2,3,5,6
"ignored",4,0,4,2,0,1,1
"ignores",5,0,0,0,1,0,0
"ignoring",1,0,2,3,0,1,0
"ihnen",1,0,0,0,0,0,0
"ihr",2,0,0,0,0,0,0
"iii",1,0,1,0,0,0,0
"ikr",4,0,2,1,0,13,7
"ilk",2,0,0,0,0,0,0
"ill",18,2,37,13,15,63,83
"illegal",4,3,66,48,37,32,16
"illegally",2,1,22,17,2,7,4
"illegalnguns",1,0,0,0,1,0,1
"illiterate",1,0,0,1,0,1,0
"illness",2,0,9,6,3,6,4
"illnesses",3,0,5,2,2,0,0
"illprepared",5,0,0,0,0,0,0
"illuminati",1,0,2,2,0,0,0
"ima",4,0,0,0,1,9,12
"image",4,0,1,0,4,2,0
"images",3,0,2,0,1,2,2
"imagine",12,3,15,7,11,32,43
"imagined",1,0,1,0,1,1,1
"imbeciles",1,0,1,2,0,0,0
"immediately",3,0,2,2,2,6,5
"immigrant",1,0,1,0,0,0,0
"immigrants",1,1,0,4,0,2,1
"immoral",3,0,0,2,0,1,0
"immorality",1,0,0,0,0,0,0
"impact",2,0,11,3,2,5,3
"impasible",1,0,0,0,0,0,0
"implies",1,0,2,0,0,0,0
"imply",1,0,1,0,1,0,0
"important",4,1,19,6,4,17,22
"importantly",3,0,3,1,0,0,0
"impossible",3,0,8,5,6,7,11
"improve",4,1,5,1,1,2,1
"impulse",1,0,1,0,0,0,0
"impulsive",1,0,0,0,0,0,0
"imvu",1,0,0,0,0,0,0
"inanimate",3,0,4,2,2,0,0
"inbred",3,0,3,0,1,1,0
"inch",1,0,0,0,0,3,1
"incidences",1,0,1,1,0,0,1
"incident",2,1,9,13,4,4,7
"incidents",1,1,11,12,6,9,0
"incinerate",1,0,0,0,0,0,0
"included",1,1,7,4,1,0,2
"including",10,4,16,9,8,9,16
"increase",4,2,7,10,0,3,5
"incredible",1,0,1,0,2,4,1
"incredibly",1,0,3,1,1,4,6
"incriminating",1,0,0,0,0,0,0
"indeed",2,0,11,3,1,0,1
"independence",1,0,4,0,1,0,0
"india",1,0,1,2,0,0,2
"indicate",1,0,2,1,2,1,0
"indicates",2,0,2,0,1,0,0
"indifference",1,1,0,0,0,0,0
"indilli",1,0,0,0,0,0,0
"indirectly",1,0,0,0,0,0,0
"individual",3,0,13,2,8,1,1
"individually",1,0,1,0,0,0,0
"individuals",1,0,8,9,2,3,1
"ineligible",1,0,0,0,0,0,0
"infamy",1,0,2,2,0,0,1
"infantry",1,0,1,0,0,0,0
"infle",1,0,0,0,0,0,0
"inflicted",1,0,0,0,2,1,1
"influences",1,0,1,0,0,0,0
"info",2,0,3,0,3,2,0
"information",2,0,9,10,7,3,6
"informed",3,0,1,0,3,2,3
"informing",1,0,1,0,0,0,0
"infraction",1,0,0,0,0,0,0
"infð¾rmð°tiè¯n",1,0,0,0,0,0,0
"inherently",1,0,2,0,0,0,0
"inherited",1,0,0,0,0,0,0
"inheritence",1,0,0,0,0,0,0
"inhumane",1,0,2,2,0,0,0
"inject",1,0,0,0,0,0,0
"injection",3,0,2,0,2,0,0
"injure",1,0,2,2,2,2,3
"injured",6,1,19,1,6,14,24
"injures",1,0,0,1,0,1,0
"injuries",2,0,7,2,1,1,8
"inmates",2,0,2,0,0,0,0
"innercity",4,0,0,0,0,0,0
"innocent",27,5,52,33,18,16,21
"innocents",1,0,6,1,6,1,3
"inocent",1,0,1,1,0,1,1
"insane",5,1,20,18,10,15,13
"insanely",3,1,3,0,0,0,0
"insanity",2,0,11,3,1,0,0
"insecure",1,0,0,1,0,2,0
"insensitive",2,0,4,1,0,3,0
"inside",8,4,12,16,9,57,70
"insignia",1,0,0,0,0,0,0
"insta",1,0,0,0,0,0,1
"instability",1,0,1,1,0,0,0
"instance",1,0,2,5,5,2,0
"instantly",1,0,2,5,1,3,4
"instead",16,3,44,19,21,100,85
"instinct",1,0,2,0,3,2,3
"insult",3,2,5,3,1,4,2
"insulted",3,1,0,0,0,0,0
"insulting",1,0,7,1,2,0,0
"intact",1,0,1,0,0,1,0
"intake",1,0,0,0,0,0,0
"intelligence",3,0,2,0,0,0,0
"intelligent",1,1,12,5,3,2,2
"intended",1,4,3,0,2,0,1
"intense",1,0,2,1,1,6,8
"intent",2,1,5,3,5,2,1
"intention",1,0,4,0,0,0,1
"interest",1,2,1,2,0,1,1
"interested",2,0,4,4,4,0,1
"interests",2,0,1,1,1,0,0
"internal",4,0,0,0,0,1,1
"internet",1,0,19,8,8,11,3
"intervention",1,1,0,0,1,0,0
"interview",1,1,3,3,3,1,1
"interviews",2,1,0,0,3,3,0
"into",4,0,1,2,3,4,5
"intruder",1,0,3,1,6,50,50
"intrudernme",2,0,0,0,0,0,0
"investigate",1,0,0,0,1,1,2
"investigation",2,0,1,0,0,0,1
"investigator",1,0,0,1,0,0,0
"involve",1,0,1,2,0,1,1
"involved",3,0,16,7,5,10,7
"invðµstmðµnt",1,0,0,0,0,0,0
"invðµstè¯rs",1,0,0,0,0,0,0
"iraq",2,1,16,1,0,0,2
"ireland",1,0,3,1,1,16,4
"irish",1,0,0,1,0,0,4
"ironc",1,0,0,0,0,0,0
"irrational",5,0,0,2,3,0,0
"irrelevant",1,0,5,1,1,3,0
"isaac",1,0,0,0,1,0,0
"ish",1,0,1,1,1,1,0
"isis",3,0,0,0,2,9,3
"islam",2,0,7,1,7,2,3
"islamocolonialism",1,0,0,0,0,0,0
"islamofascist",1,0,0,0,0,0,0
"islamophobe",1,0,0,0,0,0,0
"islams",1,0,0,0,0,0,0
"island",3,0,7,1,4,1,0
"islands",1,0,1,0,0,0,0
"isnt",5,2,15,13,6,17,17
"isnâuut",4,0,0,0,0,0,5
"isolated",1,0,0,2,0,0,0
"israelis",4,0,0,0,0,0,0
"israelsmexico",1,0,0,0,0,0,0
"issue",6,8,20,12,15,6,3
"issues",5,1,10,20,16,7,7
"ist",4,0,0,0,0,1,0
"itll",1,0,1,0,1,2,0
"its",37,7,172,88,97,193,159
"itzyogirlnickid",1,0,0,0,0,0,0
"itâuus",45,0,0,0,0,0,32
"ive",7,3,39,13,23,82,62
"iâuull",1,0,1,0,0,0,6
"iâuum",27,0,1,0,0,0,34
"iâuuve",5,0,1,0,0,0,4
"jack",1,0,6,2,4,6,5
"jackasses",1,0,0,0,0,0,0
"jacked",1,0,0,0,0,0,0
"jackson",3,0,1,0,0,1,3
"jad",1,0,0,0,0,0,0
"jaden",1,0,0,0,0,0,1
"jail",29,1,11,4,3,8,17
"jailed",1,0,0,0,0,0,0
"jaime",2,0,0,0,0,0,0
"jak",1,0,0,0,0,0,0
"jake",2,0,0,1,1,3,4
"james",2,2,11,9,3,5,11
"jamie",6,0,0,0,0,0,0
"jaquzzi",1,0,0,0,0,0,0
"jason",1,0,0,3,0,0,2
"jaycie",1,0,0,0,0,0,0
"jazzy",1,0,0,0,0,0,0
"jazzyent",1,0,0,0,0,0,0
"jeans",1,0,0,0,0,0,0
"jebem",2,0,0,0,0,0,0
"jeez",1,0,3,2,1,1,7
"jefferson",1,0,1,1,0,1,0
"jeffrey",2,0,0,1,0,0,0
"jemanden",1,0,0,0,0,0,0
"jenna",1,0,0,1,1,0,0
"jeopardy",2,0,0,0,0,0,0
"jeriah",1,0,0,0,0,0,0
"jerk",2,2,2,1,1,4,1
"jessica",1,0,0,0,0,0,0
"jesus",8,3,8,1,1,17,13
"jesusnnmaybe",1,0,0,0,0,0,0
"jetzt",1,0,0,0,0,0,0
"jew",5,1,0,0,0,0,1
"jewelry",1,0,0,1,0,0,1
"jewish",1,1,2,3,0,0,4
"jews",5,1,1,1,0,0,2
"jilf",1,0,0,0,0,0,0
"jim",2,0,0,1,2,1,3
"jing",1,0,0,0,0,0,0
"jist",1,0,0,0,0,0,0
"job",22,3,16,20,15,30,32
"jobs",1,1,9,4,2,3,6
"john",3,0,10,5,2,8,5
"johnmark",2,0,0,0,0,0,0
"johnson",9,0,1,0,0,2,0
"join",3,0,3,0,1,4,9
"joined",1,0,1,0,1,1,1
"joke",18,1,30,8,8,37,43
"jokes",3,0,1,2,1,5,14
"joking",1,0,5,0,2,17,11
"jones",1,0,1,1,1,3,0
"jordanians",4,0,0,0,0,0,0
"jose",5,0,0,0,0,0,0
"joseph",3,0,1,2,1,1,1
"journalisg",1,0,0,0,0,0,0
"journalism",1,0,2,0,0,0,0
"journalist",3,0,0,0,0,0,1
"journalists",1,0,2,2,0,0,0
"joy",1,0,1,2,2,1,3
"judegeyis",1,0,0,0,0,0,0
"judge",63,2,7,3,0,4,0
"judged",2,0,0,0,0,0,0
"judgementnnâuu",1,0,0,0,0,0,0
"judges",5,0,2,0,0,0,2
"judging",2,0,2,0,2,2,0
"judicial",1,0,1,0,0,0,0
"judt",1,0,0,0,0,0,0
"jugde",2,0,0,0,0,0,0
"juleka",1,0,0,0,0,0,0
"jumao",1,0,0,0,0,0,0
"jumbled",1,0,0,0,0,0,0
"jurisdictin",1,0,0,0,0,0,0
"jurnalist",1,0,0,0,0,0,0
"justice",7,0,2,9,3,1,0
"justified",2,0,3,1,0,1,1
"justify",1,1,4,4,5,0,1
"justifying",1,0,1,2,0,0,2
"justnnshit",1,0,0,0,0,0,0
"kahoot",1,0,0,0,0,0,6
"kahootnnnnnso",1,0,0,0,0,0,0
"kakakanskidikipappap",1,0,0,0,0,0,0
"kalaniglitters",1,0,0,0,0,0,0
"kaliko",1,0,0,0,0,0,0
"kann",1,0,0,0,0,0,0
"karl",1,0,0,0,0,0,2
"karma",1,0,0,0,0,1,1
"karra",1,0,0,0,0,0,0
"kashoot",1,0,0,0,0,0,3
"katana",1,0,0,0,0,0,4
"katcr",1,0,0,0,0,0,0
"katie",5,0,0,0,0,0,1
"kebab",1,0,0,0,0,0,4
"keep",19,4,53,31,35,78,102
"keeping",4,0,5,0,2,7,3
"keeps",3,1,3,1,2,8,15
"keinen",1,0,0,0,0,0,0
"keiner",2,0,0,0,0,0,0
"kek",1,0,0,0,0,2,1
"kelbo",1,0,0,0,0,0,0
"kennedy",1,0,1,0,0,1,0
"kenzy",1,0,0,0,0,0,0
"kept",5,0,3,4,2,22,31
"ketchup",1,0,0,2,0,1,3
"kevan",1,0,0,0,0,0,0
"kevinn",1,0,0,0,0,0,0
"kevlar",1,0,0,0,0,0,0
"key",3,0,3,2,4,13,7
"keyboard",1,0,0,1,1,0,0
"kick",2,0,5,1,2,31,60
"kickedhe",1,0,0,0,0,0,0
"kicking",1,0,0,0,4,5,7
"kicks",8,0,2,0,2,22,145
"kicksnyoud",14,0,0,0,0,0,42
"kid",69,1,41,25,24,152,233
"kiddo",2,0,1,0,0,0,0
"kidnap",4,0,0,1,0,1,2
"kidnappers",1,0,0,1,0,0,0
"kidnappings",4,0,0,0,0,0,0
"kidnfirst",1,0,0,0,0,0,0
"kidnyeah",1,0,0,0,0,0,3
"kids",123,15,129,75,134,662,838
"kidsjew",5,0,0,0,0,0,0
"kidsnme",1,0,0,0,0,0,1
"kidsnnnmoving",1,0,0,0,0,0,0
"kidsâud¤ï¸uf",1,0,0,0,0,0,0
"kiki",1,0,0,0,0,0,1
"kiling",1,0,0,0,0,0,0
"kilk",1,0,0,0,0,0,0
"kill",116,22,276,118,96,178,220
"killashandra",1,0,0,0,0,0,0
"killed",71,12,139,53,53,105,114
"killedðufuu",1,0,0,0,0,0,0
"killer",6,0,26,11,8,34,33
"killerrr",1,0,0,0,0,0,0
"killers",1,4,42,18,2,15,13
"killing",33,7,80,44,37,36,34
"killingbprople",1,0,0,0,0,0,0
"killings",4,3,33,13,5,4,2
"killinn",1,0,0,0,0,0,0
"kills",7,0,26,7,9,17,15
"kind",15,5,48,13,24,56,52
"kinda",7,4,13,8,7,54,73
"kinder",1,0,0,0,0,6,7
"kinds",2,0,1,2,1,3,6
"king",1,0,6,2,1,8,5
"kingdom",9,3,3,2,1,0,1
"kirstein",1,0,0,0,0,0,0
"kitchen",2,0,1,7,1,5,5
"kjvav",1,0,0,0,0,0,0
"knew",15,4,31,18,12,41,33
"knife",20,1,21,17,9,61,62
"knifes",3,0,6,0,0,6,10
"knight",1,0,8,2,3,4,1
"knitpicking",1,0,0,0,0,0,0
"knives",9,4,13,14,4,13,15
"knockedout",1,0,0,0,0,0,0
"knowing",4,2,12,7,8,12,10
"knowledge",2,0,8,2,8,8,9
"known",6,0,17,9,8,4,2
"knows",16,2,16,10,9,43,35
"koming",1,0,0,0,0,0,0
"kriminalitã¤t",1,0,0,0,0,0,0
"kristofferson",1,0,0,0,0,0,0
"kurva",1,0,0,0,0,0,0
"kâuus",1,0,0,0,0,0,0
"kã¶nnen",2,0,0,0,0,0,0
"lab",1,0,0,1,0,3,9
"labor",1,0,0,1,0,0,2
"lack",3,0,7,7,4,1,3
"lacking",1,0,1,0,2,0,0
"ladies",1,0,0,2,0,3,1
"lady",3,1,8,5,4,10,12
"ladys",1,0,0,0,1,0,0
"lair",1,0,0,0,0,0,0
"lame",2,0,2,1,0,2,1
"lamest",1,0,0,0,0,0,0
"land",3,1,10,2,0,6,6
"language",1,1,7,6,4,5,1
"larceny",1,0,0,0,0,0,0
"large",2,1,18,3,11,12,10
"largely",1,1,2,2,0,1,0
"larsen",1,0,0,0,0,0,0
"las",4,0,0,0,1,0,53
"laser",1,0,0,0,1,0,0
"last",11,5,51,26,31,99,95
"lastly",2,0,2,0,1,0,1
"late",7,2,12,5,7,9,13
"latenand",1,0,0,0,0,0,3
"later",2,5,23,9,11,29,48
"latfð¾rm",1,0,0,0,0,0,0
"latino",1,0,0,1,0,0,0
"laugh",9,0,7,2,5,32,36
"laughing",7,1,6,6,11,54,71
"launcher",1,0,0,4,1,0,4
"law",13,9,89,54,44,29,18
"laws",25,16,163,63,89,73,55
"lawsnthe",1,0,0,0,0,0,0
"lawyer",1,0,0,0,1,0,1
"lawyers",1,0,2,0,0,0,0
"laxer",1,0,0,0,0,1,0
"lay",1,0,2,0,1,12,10
"laying",1,0,1,0,2,4,2
"lazy",2,0,6,1,1,0,4
"lead",5,1,9,6,5,5,5
"leaders",1,0,3,1,1,1,0
"leading",1,0,3,9,0,0,4
"leads",2,0,5,3,2,3,4
"leah",1,0,0,0,0,1,0
"leal",1,0,0,0,0,0,0
"learn",10,5,34,10,19,44,27
"learned",2,0,5,1,4,4,6
"learning",1,1,6,1,5,10,18
"least",11,4,46,23,37,72,72
"leave",7,1,18,10,13,40,57
"leaves",1,0,2,2,0,4,7
"leaving",2,0,4,3,1,7,12
"leblanc",1,0,0,0,0,0,0
"lee",1,0,9,4,3,7,3
"left",18,2,25,13,13,30,34
"leftist",1,0,0,0,0,0,0
"leftnin",1,0,0,0,0,0,0
"lefts",1,0,0,0,0,0,0
"legal",5,2,30,15,22,13,9
"legally",10,1,19,11,9,4,1
"legaln",1,0,0,0,0,0,0
"legendary",1,0,0,1,1,1,3
"legeyl",1,0,0,0,0,0,0
"legislators",5,0,0,0,0,1,0
"legit",1,0,7,2,1,17,15
"legitimate",1,0,6,2,0,1,0
"legs",1,0,1,0,2,7,11
"lemmings",1,0,0,0,0,1,0
"lemmon",2,0,0,0,0,0,0
"lemon",6,0,0,0,1,0,1
"lemoney",1,0,0,0,0,0,0
"leo",2,0,0,0,0,0,2
"leprechaun",1,0,0,0,0,0,0
"les",2,0,1,0,0,1,0
"lesbian",3,0,0,0,0,0,0
"less",11,6,79,39,33,28,27
"lessened",1,0,0,0,0,0,0
"lesser",1,0,1,0,0,0,1
"lesson",1,0,6,1,1,11,14
"let",41,9,59,33,29,57,93
"lethal",5,0,2,3,7,1,1
"lets",6,2,40,18,15,55,59
"letting",1,0,9,2,3,9,4
"letâuus",5,0,0,0,0,0,1
"leute",1,0,0,0,0,0,0
"level",3,3,13,6,9,5,11
"levels",1,0,2,1,1,5,0
"levin",1,0,0,0,0,1,0
"lewie",2,0,0,0,0,0,0
"lght",1,0,0,0,0,0,0
"lia",1,0,0,0,0,0,0
"liar",4,0,0,1,1,1,2
"liarberals",1,0,0,0,0,0,0
"libeal",1,0,0,0,0,0,0
"liberal",6,0,13,9,1,4,10
"liberals",4,0,6,3,2,6,3
"library",1,0,0,2,3,5,14
"libtards",4,0,1,0,1,1,1
"license",1,0,16,3,5,1,5
"lickers",2,0,0,0,0,0,0
"lie",3,1,5,2,7,2,8
"lieb",2,0,0,0,0,0,0
"lied",1,0,2,1,0,3,0
"liegen",1,0,0,0,0,0,0
"lies",7,0,6,5,7,0,5
"life",63,14,102,68,48,132,141
"lifehe",1,0,0,0,0,0,0
"lifeknowing",1,0,0,0,0,0,0
"lifennkarma",1,0,0,0,0,0,0
"lifennnnnhaha",1,0,0,0,0,0,0
"lifenno",1,0,0,0,0,0,0
"lifeput",1,0,0,0,0,0,0
"lifes",1,0,3,2,1,1,5
"lifethe",1,0,0,0,0,0,1
"lift",1,0,2,0,0,2,0
"light",2,1,5,0,4,12,18
"lighten",1,0,0,0,0,1,1
"liked",2,0,8,1,2,3,4
"likee",1,0,0,0,0,0,0
"likely",8,1,28,14,13,42,29
"likeone",1,0,0,0,0,0,0
"likeprayer",1,0,0,0,0,0,0
"likes",3,0,7,6,1,7,20
"lil",1,0,5,0,1,4,4
"lilly",1,0,0,0,0,0,0
"liltte",1,0,0,0,0,0,0
"limbo",1,0,0,0,0,0,0
"limbs",1,0,1,0,0,2,1
"limit",1,0,3,3,6,5,1
"limited",1,1,4,1,1,1,1
"limmited",1,0,0,0,0,0,0
"limp",1,0,0,0,0,0,0
"line",8,0,13,6,5,20,31
"link",7,0,3,1,6,0,1
"links",1,0,0,0,0,0,0
"lip",1,0,0,0,0,1,0
"liquor",1,0,0,0,0,0,0
"lisa",2,0,1,1,0,0,0
"lison",1,0,0,0,0,0,0
"list",9,16,140,61,35,33,45
"listed",1,1,3,0,3,1,0
"listen",5,4,48,19,11,14,25
"listening",2,1,7,4,3,5,5
"lit",2,0,0,0,0,5,7
"literally",4,0,5,7,6,27,47
"litterly",2,0,0,0,0,1,0
"little",19,10,74,35,30,66,85
"littlest",1,0,0,0,0,0,0
"live",50,20,118,52,65,203,155
"lived",3,1,10,10,3,8,8
"livenif",1,0,0,0,0,0,0
"lives",36,2,54,47,27,64,38
"living",6,0,22,15,10,22,15
"lmao",12,0,11,7,7,77,85
"lmaooo",2,0,0,0,1,0,4
"lmaosmh",1,0,0,0,0,0,0
"lmfao",2,0,4,0,2,9,12
"load",3,1,3,1,3,2,2
"loaded",4,0,5,1,5,5,8
"loading",1,0,1,0,0,0,1
"loblocks",1,0,0,0,0,0,0
"local",6,0,5,2,3,5,6
"lock",8,0,1,5,71,273,455
"lockdown",3,0,0,4,42,321,605
"locked",6,0,6,4,21,85,93
"locker",1,0,0,0,1,13,14
"locks",1,0,2,1,3,27,42
"lofuckingl",1,0,0,0,0,0,0
"logan",1,0,0,0,0,0,3
"logic",10,3,27,7,9,16,7
"logically",1,0,0,1,1,1,0
"loki",1,0,0,0,0,0,0
"lol",43,3,100,42,45,231,246
"lolllllll",1,0,0,0,0,0,0
"lolnso",1,0,0,0,0,0,0
"lolz",1,0,2,1,0,1,0
"london",3,0,0,1,0,2,3
"lone",1,0,4,1,2,0,1
"long",25,4,34,26,14,36,58
"longer",3,0,6,4,4,9,4
"look",71,9,156,69,52,98,102
"looked",5,0,10,2,4,13,19
"looking",3,1,12,19,12,20,28
"looks",13,0,21,9,9,30,43
"lord",6,0,4,2,2,4,2
"lordchicken",1,0,0,0,0,0,0
"lordship",1,0,0,0,0,0,0
"lose",3,0,11,5,5,10,3
"loser",1,0,4,1,0,0,2
"losers",1,0,5,0,0,0,1
"losing",3,0,3,4,1,1,2
"loss",2,0,3,7,1,0,2
"lost",33,4,18,18,12,19,17
"lostnnnnnnnwhen",1,0,0,0,0,0,0
